Species,FemaleMinMM,FemaleMaxMM,MaleMinMM,MaleMaxMM,QueenMinMM,QueenMaxMM,DataLevel,Source,Notes,Article Link ,
Andrena angustitarsata,8,10,7,9,,,Species,Discover Life,All measurements are in mm; DataLevel is Species or Genus; Source includes the title of the reference ,,
Andrena anisochlora,8,10,7.5,9,,,Species,Discover Life,N/A is missing data,,
Andrena auricoma,8,10,6,9,,,Species,Discover Life,,,
Andrena baeriae,8.5,10,6,8,,,Species,Discover Life,,,
Andrena caerulea,7.5,10.5,6,10,,,Species,Discover Life,,,
Andrena candida,8,10,6,9,,,Species,Discover Life,,,
Andrena chlorogaster,6.6,N/A,5.9,N/A,,,Species,Discover Life,No range provided; N/A is missing data,,
Andrena chlorura,8,10,6,9,,,Species,Discover Life,,,
Andrena duboisi,6.5,7.5,6,7,,,Species,Discover Life,,,
Andrena gnaphalii,7.5,9,6,7,,,Species,Discover Life,,,
Andrena hypoleuca,8,9,6,8,,,Species,Discover Life,,,
Andrena nigripes,10,12,8,10,,,Species,Discover Life,,,
Andrena nigrocaerulea,10,12,7,11,,,Species,Discover Life,,,
Andrena oenotherae,11,14,9,11,,,Species,Discover Life,,,
Andrena pallidifovea,8,12,6,11,,,Species,Discover Life,,,
Andrena perimelas,12,17,11,15,,,Species,Discover Life,,,
Andrena piperi,8,N/A,6.5,N/A,,,Species,Discover Life,,,
Andrena plana,9.5,N/A,8,N/A,,,Species,Discover Life,,,
Andrena principalis,9,11,9,11,,,Species,Discover Life,,,
Andrena prunorum,12,N/A,12,N/A,,,Species,Biodiversity Heritage Library,,ser.6:v.18=no.103-108 (1896) - The Annals and magazine of natural history - Biodiversity Heritage Library (biodiversitylibrary.org),
Andrena sola,10,12,8,10,,,Species,Discover Life,,,
Andrena suavis,8,9,7,9,,,Species,Discover Life,,,
Andrena subaustralis,10,13,8.5,12,,,Species,Discover Life,,,
Andrena submoesta,6.5,7,6,6.5,,,Species,Discover Life,,,
Andrena subtilis,11,15,9,14,,,Species,Discover Life,,,
Andrena vandykei,7.6,N/A,6.3,N/A,,,Species,Discover Life,,,
Calliopsis,5,10,5,10,,,Subgenus,The Bees of the World,Not specify in sex,,
Pseudopanurgus californicus,N/A,N/A,6.35,N/A,,,Species,Biodiversity Heritage Library,Male: 0.25 inch ,v.7 (1878-1879) - Transactions of the American Entomological Society and proceedings of the Entomological Section of the Academy of Natural Sciences. - Biodiversity Heritage Library (biodiversitylibrary.org),
Panurginus armaticeps,6,N/A,N/A,N/A,,,Species,Biodiversity Heritage Library,,ser.8:v.17=no.97-102 (1916) [Lacks:Pl.VI] - The Annals and magazine of natural history - Biodiversity Heritage Library (biodiversitylibrary.org),
