"","source_taxon_external_id","genus","species","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"1","GBIF:1345199","Habropoda","pallida","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Habropoda | Habropoda pallida",NA,"hasKleptoparasite","GBIF:1046333","Meloe franciscanus","Animalia | Arthropoda | Insecta | Coleoptera | Meloidae | Meloe | Meloe franciscanus",NA,NA,NA,NA,NA
"2","GBIF:1341976","Apis","mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera",NA,"hasParasite","GBIF:1395226","Pteromalus apum","Animalia | Arthropoda | Insecta | Hymenoptera | Pteromalidae | Pteromalus | Pteromalus apum",NA,NA,NA,NA,NA
"3","GBIF:1341976","Apis","mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera",NA,"hasParasite","GBIF:1372392","Monodontomerus laticornis","Animalia | Arthropoda | Insecta | Hymenoptera | Torymidae | Monodontomerus | Monodontomerus laticornis",NA,NA,NA,NA,NA
"4","GBIF:1341976","Apis","mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera",NA,"hasParasite","GBIF:1381751","Tetrastichus howardi","Animalia | Arthropoda | Insecta | Hymenoptera | Eulophidae | Tetrastichus | Tetrastichus howardi",NA,NA,NA,NA,NA
"5","GBIF:1341976","Apis","mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera",NA,"hasParasite","EOL:1072669","Melittobia acasta","Animalia | Arthropoda | Insecta | Hymenoptera | Chalcidoidea | Eulophidae | Melittobia | Melittobia acasta",NA,NA,NA,NA,NA
"6","GBIF:1341976","Apis","mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera",NA,"hasParasite","GBIF:4501516","Dibrachys microgastri","Animalia | Arthropoda | Insecta | Hymenoptera | Pteromalidae | Dibrachys | Dibrachys microgastri",NA,NA,NA,NA,NA
"7","GBIF:1341976","Apis","mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera",NA,"hasParasite","EOL:1071103","Nasonia vitripennis","Animalia | Arthropoda | Insecta | Hymenoptera | Chalcidoidea | Pteromalidae | Nasonia | Nasonia vitripennis",NA,NA,NA,NA,NA
"8","GBIF:1342048","Xylocopa",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Xylocopa",NA,"hasParasite","EOL:1071733","Monodontomerus montivagus","Animalia | Arthropoda | Insecta | Hymenoptera | Chalcidoidea | Torymidae | Monodontomerus | Monodontomerus montivagus",NA,NA,NA,NA,NA
"9","GBIF:1342048","Xylocopa",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Xylocopa",NA,"hasParasite","GBIF:1372329","Monodontomerus vicicellae","Animalia | Arthropoda | Insecta | Hymenoptera | Torymidae | Monodontomerus | Monodontomerus vicicellae",NA,NA,NA,NA,NA
"10","GBIF:1340343","Bombus","californicus","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus californicus",NA,"hasParasitoid","https://www.gbif.org/species/1545499","Apocephalus borealis",NA,NA,NA,NA,NA,NA
"11","GBIF:1342284","Xylocopa","varipuncta","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Xylocopa | Xylocopa varipuncta",NA,"hasKleptoparasite","GBIF:1335213","Megachile sculpturalis","Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile | Megachile sculpturalis",NA,NA,NA,NA,NA
"12","GBIF:1340278","Bombus",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus",NA,"hasEndoparasite","EOL:4965177","Sphaerularia bombi","Animalia | Nematoda | Secernentea | Tylenchida | Sphaerulariidae | Sphaerularia | Sphaerularia bombi",NA,NA,NA,NA,NA
"13","GBIF:1340278","Bombus",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus",NA,"hasParasite","GBIF:1870250","Aphomia sociella","Animalia | Arthropoda | Insecta | Lepidoptera | Pyralidae | Aphomia | Aphomia sociella",NA,NA,NA,NA,NA
"14","GBIF:1340278","Bombus",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus",NA,"hasParasite","GBIF:4506278","Mutilla europaea","Animalia | Arthropoda | Insecta | Hymenoptera | Mutillidae | Mutilla | Mutilla europaea",NA,NA,NA,NA,NA
"15","GBIF:1340278","Bombus",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus",NA,"hasPathogen","EOL:10563045","Nosema apis","Fungi | Microspora | Microsporea | Microsporida | Nosematidae | Nosema | Nosema",NA,NA,NA,NA,NA
"16","GBIF:1340278","Bombus",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus",NA,"hasEndoparasitoid","GBIF:7298","Conopidae","Animalia | Arthropoda | Insecta | Diptera | Conopidae",NA,NA,NA,NA,NA
"17","GBIF:1340278","Bombus",NA,"Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus",NA,"hasEctoparasitoid","GBIF:1481718","Brachicoma devia","Animalia | Arthropoda | Insecta | Diptera | Sarcophagidae | Brachicoma | Brachicoma devia",NA,NA,NA,NA,NA
"18","NCBI:7460","Apis","mellifera","| Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Apinae | Apini | Apis | Apis mellifera",NA,"hasPathogen","NCBI:92444","Acute bee paralysis virus","Viruses | ssRNA viruses | ssRNA positive-strand viruses, no DNA stage | Picornavirales | Dicistroviridae | Aparavirus | Acute bee paralysis virus",NA,NA,NA,NA,NA
