Species,DataLevel,ActualText,Source,Notes,MarkedClyperus,StripeAbdomen,DarkHead,DarkThorax,DarkAbdomen,MetallicHead,MetallicThorax,MetallicAbdomen,PatternedThorax,PatternedAbdomen,ArticleLink,
EXAMPLE,,,,Dark(Black/brown/reddish/rufescent); Patterned(Yellow/white),,,,,,,,,,,,
Andrena angustitarsata,species,Integumental color: Black except as follows: tergal apical areas often translucent dark reddish brown at base to colorless apically,DiscoverLife,,0,1,1,1,0,0,0,0,0,0,,
Andrena anisochlora,species,"Integumental color: Black except as follows: metasomal terga with apical areas often translucent, brown",DiscoverLife,Male: clypeus yellow except apical margin and narrow posterior margin,1,0,1,1,0,0,0,0,0,0,,
Andrena auricoma,species,Integumental color: Black,DiscoverLife,Male: clypeus often with exceedingly faint violaceous reflections,1,1,1,1,1,0,0,0,0,0,,
Andrena baeriae,species,Integumental black,DiscoverLife,*no pics of abdomen,0,1,1,1,1,0,0,0,0,0,,
Andrena caerulea,species,Black with metallic blue-green luster; clypeus with violaceous reflections,DiscoverLife,,1,0,0,0,0,1,1,1,0,0,,
Andrena candida,species,"Black except as follows: generally with dark blue to dark greenish-blue metallic reflections, often with violaceous reflections on clypeus",DiscoverLife,,1,1,0,0,0,1,1,1,0,0,,
Andrena chlorogaster,species,Black to dark brown with slight greenish-gold reflections; clypeus with purplish reflections,DiscoverLife,Male:clypeus yellow without lateral hyaline spots,1,1,1,1,1,0,0,0,0,0,,
Andrena chlorura,species,"Black except as follows: with metallic green or golden reflections especially on head and thoracic dorsum, terga with weak reflections (clypeus often with violaceous reflections)",DiscoverLife,,1,0,0,0,0,1,1,1,0,0,,
Andrena duboisi,species,"Head and thorax metallic green except clypeus, scutellum, and metanotum often with violaceous reflections.; tergal apical areas hyaline apically to red or reddish brown basally",DiscoverLife,Male: clypeus with mediobasal pale yellow macula covering half of clypeus or more,1,0,0,0,1,1,1,0,0,0,,
Andrena gnaphalii,species,"Female: Integument golden-green; Male: Integument dark olive-green with golden reflections, bluish on propodeum; clypeus with subapical, transverse, dark line with violaceous reflections",,classify in metallic integumental color,1,0,0,0,0,1,1,1,0,0,,
Andrena hypoleuca,species,Black except as follows: metasomal tergal apical areas usually translucent reddish brown,DiscoverLife,,0,0,1,1,0,0,0,0,0,0,,
Andrena nigripes,species,Black; Metasomal terga with apical areas rufescent   ,DiscoverLife,Male:clypeus yellow except narrow anterior margin,1,0,1,0,1,0,0,0,0,0,,
Andrena nigrocaerulea,species,Metallic bluish-black,DiscoverLife,,0,0,0,0,0,1,1,1,0,0,,
Andrena oenotherae,species,being entirely black,DiscoverLife,Male: dorsal thoracic hairs white ,0,0,1,1,1,0,0,0,0,0,,
Andrena pallidifovea,species,Black except metasomal terga with apical areas black to slightly rufescent apically,DiscoverLife,,0,1,1,1,1,0,0,0,0,0,,
Andrena perimelas,species,Black,DiscoverLife,,0,0,1,1,1,0,0,0,0,0,,
Andrena piperi,species,Black with slight dark blue-green or purplish reflections,DiscoverLife,"Male: clypeus yellow, with two small, lateral hyaline spots",1,1,1,1,1,0,0,0,0,0,,
Andrena plana,species,Color as in scurra,DiscoverLife,Male: clypeus cream colored except apex and two small dark spots,1,0,1,1,1,0,0,0,0,0,,
Andrena principalis,species,Black,DiscoverLife,Male: clypeus yellow except narrow apical margin and posterior third to one-half (yellow area often three-lobed posteriorly),1,1,1,1,1,0,0,0,0,0,,
