Checklist names,Synonyms from DL,Notes
Andrena angustitarsata,"Andrena mustelicolor; Pterandrena nudiscopa; Andrena opaciventris_homonym; Andrena (Andrena) friesei; Andrena (Andrena) angustitarsata race huardi, possible unpublished synonym proposed by Ascher; Andrena opacissima; Andrena (Platandrena) opacibasis ; Andrena (Simandrena) angustitarsata ",
Andrena anisochlora,Andrena (Micrandrena) dinognatha ,
Andrena auricoma,Andrena (Xanthandrena) auricoma; Andrena (Euandrena) auricoma,
Andrena baeriae,Andrena (Hesperandrena) baeriae ,
Andrena caerulea,"Andrena coerulea var territa; Pterandrena erigenoides; Pterandrena crypta; Pterandrena acrypta; Pterandrena complexa; Andrena (Ptilandrena) francisca; Andrena supervirens ; Andrena supervirens var aurescens; Andrena (Andrena) innominata; Andrena (Ptilandrena) supervirens var tristis_homonym, nomen nudum, likely a miscitation of var aurescens; Andrena erigenoides; Andrena crypta; Andrena acrypta; Andrena complexa; Andrena (Euandrena) caerulea",
Andrena candida,"Andrena chlorinella; Andrena xanthostigma; Andrena subcandida; Andrena (Andrena) candida race tramoserica, doubtful synonymy; Andrena (Thyandrena) candida",
Andrena chlorogaster,Andrena (Andrena) subtilicornis; Andrena (Micrandrena) nitidicornis; Andrena (Micrandrena) catalinica; Andrena (Micrandrena) chlorogaster nesiotes; Andrena (Micrandrena) chlorogaster gavilanica; Andrena (Micrandrena) radialis; Andrena (Micrandrena) chlorogaster ,
Andrena chlorura,Andrena (Andrena) complicata; Andrena (Andrena) claremonti; Andrena ablusula; Andrena clementina; Andrena (Euandrena) chlorura,
Andrena duboisi,Andrena (Hesperandrena) duboisi ,
Andrena gnaphalii,Diandrena gnaphalii; Andrena (Diandrena) gnaphalii ,
Andrena hypoleuca,Andrena (Simandrena) hypoleuca,
Andrena macrocephala,"Andrena nigripes; Andrena macrocephala; Andrena peratra; Andrena macrocephala tetleyi; Andrena (Oligandrena) macrocephala; Andrena (Melandrena) nigripes; Andrena (Andrena) semifulva, unpublished synonym of Ascher",
Andrena nigrocaerulea,Andrena seattlensis; Andrena epileuca; Andrena lustrans; Andrena (Euandrena) nigrocaerulea,
