family	genus	specificEpithet	infraSpecificEpithet	ScientificName
Andrenidae	Andrena	vandykei		Andrena vandykei
Andrenidae	Andrena	gnaphalii		Andrena gnaphalii
Andrenidae	Andrena	submoesta		Andrena submoesta
Andrenidae	Andrena	principalis		Andrena principalis
Andrenidae	Andrena	auricoma		Andrena auricoma
Andrenidae	Andrena	caerulea		Andrena caerulea
Andrenidae	Andrena	chlorura		Andrena chlorura
Andrenidae	Andrena	nigrocaerulea		Andrena nigrocaerulea
Andrenidae	Andrena	suavis		Andrena suavis
Andrenidae	Andrena	baeriae		Andrena baeriae
Andrenidae	Andrena	duboisi		Andrena duboisi
Andrenidae	Andrena	perimelas		Andrena perimelas
Andrenidae	Andrena	sola		Andrena sola
Andrenidae	Andrena	chlorogaster		Andrena chlorogaster
Andrenidae	Andrena	piperi		Andrena piperi
Andrenidae	Andrena	macrocephala		Andrena macrocephala
Andrenidae	Andrena	oenotherae		Andrena oenotherae
Andrenidae	Andrena	prunorum		Andrena prunorum
Andrenidae	Andrena	plana		Andrena plana
Andrenidae	Andrena	angustitarsata		Andrena angustitarsata
Andrenidae	Andrena	hypoleuca		Andrena hypoleuca
Andrenidae	Andrena	pallidifovea		Andrena pallidifovea
Andrenidae	Andrena	candida		Andrena candida
Andrenidae	Andrena	subaustralis		Andrena subaustralis
Andrenidae	Andrena	subtilis		Andrena subtilis
Andrenidae	Calliopsis			Calliopsis
Andrenidae	Heterosarus	californicus		Heterosarus californicus
Andrenidae	Panurginus	armaticeps		Panurginus armaticeps
Andrenidae	Panurginus	gracilis		Panurginus gracilis
Andrenidae	Panurginus	melanocephalus		Panurginus melanocephalus
Andrenidae	Perdita	layiae		Perdita layiae
Apidae	Anthophora	californica		Anthophora californica
Apidae	Anthophora	edwardsii		Anthophora edwardsii
Apidae	Anthophora	urbana		Anthophora urbana
Apidae	Apis	mellifera		Apis mellifera
Apidae	Bombus	californicus		Bombus californicus
Apidae	Bombus	crotchii		Bombus crotchii
Apidae	Bombus	melanopygus		Bombus melanopygus
Apidae	Bombus	vosnesenskii		Bombus vosnesenskii
Apidae	Ceratina	acantha		Ceratina acantha
Apidae	Ceratina	nanula		Ceratina nanula
Apidae	Diadasia	australis		Diadasia australis
Apidae	Diadasia	bituberculata		Diadasia bituberculata
Apidae	Diadasia	nigrifrons		Diadasia nigrifrons
Apidae	Diadasia	nitidifrons		Diadasia nitidifrons
Apidae	Diadasia	ochracea		Diadasia ochracea
Apidae	Diadasia	rinconis		Diadasia rinconis
Apidae	Epeolus	minimus		Epeolus minimus
Apidae	Eucera	actuosa		Eucera actuosa
Apidae	Eucera	amsinckiae		Eucera amsinckiae
Apidae	Eucera	edwardsii		Eucera edwardsii
Apidae	Eucera	frater	albopilosa	Eucera frater albopilosa
Apidae	Eucera	lunata		Eucera lunata
Apidae	Exomalopsis	cerei		Exomalopsis cerei
Apidae	Habropoda	depressa		Habropoda depressa
Apidae	Habropoda	miserabilis		Habropoda miserabilis
Apidae	Melecta	separata	callura	Melecta separata callura
Apidae	Melissodes	lupina		Melissodes lupina
Apidae	Melissodes	lustrus		Melissodes lustrus
Apidae	Melissodes	stearnsi		Melissodes stearnsi
Apidae	Melissodes	tepida	timberlakei	Melissodes tepida timberlakei
Apidae	Nomada	formula		Nomada formula
Apidae	Nomada	hesperia		Nomada hesperia
Apidae	Nomada	semisuavis		Nomada semisuavis
Apidae	Nomada	suavis		Nomada suavis
