"","in.globi.not.size"
"1","Acamptopoeum"
"2","Afranthidium"
"3","Afroheriades"
"4","Alcidamea"
"5","Allodape"
"6","Allodapula"
"7","Alloscirtetica"
"8","Alocandrena"
"9","Amegilla"
"10","Ammobates"
"11","Anthocopa"
"12","Anthrenoides"
"13","Arhysosage"
"14","Aspidosmia"
"15","Augochlorodes"
"16","Austropanurgus"
"17","Braunsapis"
"18","Cadeguala"
"19","Caenoprosopina"
"20","Caenoprosopis"
"21","Callonychium"
"22","Camptopoeum"
"23","Canephorula"
"24","Capicola"
"25","Cellariella"
"26","Ceratalictus"
"27","Ceratomonia"
"28","Ceylalictus"
"29","Chalepogenus"
"30","Chalicodoma"
"31","Chilimalopsis"
"32","Chilimelissa"
"33","Chloralictus"
"34","Compsomelissa"
"35","Corynura"
"36","Ctenocolletes"
"37","Ctenoplectra"
"38","Ctenoplectrina"
"39","Cyphanthidium"
"40","Dactylurina"
"41","Dialictus"
"42","Diphaglossa"
"43","Doeringiella"
"44","Dolichostelis"
"45","Edwyniana"
"46","Eoanthidium"
"47","Epiclopus"
"48","Eremapis"
"49","Euaspis"
"50","Eupetersia"
"51","Euplusia"
"52","Euryglossa"
"53","Euryglossina"
"54","Evylaeus"
"55","Exoneura"
"56","Fidelia"
"57","Flavipanurgus"
"58","Geodiscelis"
"59","Goeletapis"
"60","Halictillus"
"61","Halictoides"
"62","Halictonomia"
"63","Hasinamelissa"
"64","Hemicotelles"
"65","Heterotrigona"
"66","Hetrosarellus"
"67","Homotrigona"
"68","Hoplosmia"
"69","Hyleoides"
"70","Hyphesma"
"71","Hypotrigona"
"72","Icteranthidium"
"73","Isepeolus"
"74","Leioproctus"
"75","Lepidotrigona"
"76","Leuconomia"
"77","Liotrigona"
"78","Liphanthus"
"79","Lipotriches"
"80","Lisotrigona"
"81","Lonchopria"
"82","Lophotrigona"
"83","Macrogalea"
"84","Manuelia"
"85","Megabombus"
"86","Meganomia"
"87","Melectoides"
"88","Meliponula"
"89","Melitturga"
"90","Meliturgula"
"91","Mermiglossa"
"92","Mesanthidium"
"93","Mesonychium"
"94","Metallinella"
"95","Morawitzia"
"96","Mourecotelles"
"97","Nasutapis"
"98","Neffapis"
"99","Neofidelia"
"100","Neopasiphae"
"101","Nomioides"
"102","Notanthidium"
"103","Noteriades"
"104","Odontotrigona"
"105","Orphana"
"106","Othinosmia"
"107","Pachyanthidium"
"108","Pachymelus"
"109","Panurgillus"
"110","Parathrinchostoma"
"111","Parepeolus"
"112","Pariotrigona"
"113","Paroxystoglossa"
"114","Pasites"
"115","Patellapis"
"116","Penapis"
"117","Perditomorpha"
"118","Plebeina"
"119","Plesianthidium"
"120","Prosopis"
"121","Proxylocopa"
"122","Psaenythia"
"123","Pseudagapostemon"
"124","Pseudapis"
"125","Pseudoheriades"
"126","Pseudopanugus"
"127","Psithyrus"
"128","Rediviva"
"129","Redivivoides"
"130","Rhodanthidium"
"131","Rhophitulus"
"132","Rophites"
"133","Ruizantheda"
"134","Samba"
"135","Schwarziana"
"136","Scrapter"
"137","Seladonia"
"138","Serapista"
"139","Sphecodopsis"
"140","Sphegocephala"
"141","Spinoliella"
"142","Steganomus"
"143","Stenotritus"
"144","Svastrides"
"145","Systropha"
"146","Teratognatha"
"147","Tetragonilla"
"148","Tetragonula"
"149","Tetralonia"
"150","Tetrigona"
"151","Thrinchostoma"
"152","Thyreus"
"153","Toromelissa"
"154","Trichothurgus"
"155","Tripeolus"
"156","Wainia"
"157","Willinkapis"
"158","Xanthocotelles"
"159","Xenochilicola"
"160","Xeromelissa"
"161","Zadontomerus"
