genus,subgenera,specificEpithet,infraSpecificEpithet,Notes,scientificName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Andrena,NA,angustitarsata,NA,NA,Andrena angustitarsata,0,1,1,1,1,1,1,1,0,0,0,0
Andrena,NA,anisochlora,NA,NA,Andrena anisochlora,1,1,1,1,1,1,0,0,0,0,0,0
Andrena,NA,auricoma,NA,NA,Andrena auricoma,0,1,1,1,1,1,1,0,0,0,0,0
Andrena,NA,baeriae,NA,NA,Andrena baeriae,0,0,1,1,1,0,0,0,0,0,0,0
Andrena,NA,caerulea,NA,NA,Andrena caerulea,1,1,1,1,1,1,1,1,0,0,0,0
Andrena,NA,candida,NA,NA,Andrena candida,1,1,1,1,1,1,1,1,0,0,0,0
Andrena,NA,chlorogaster,NA,NA,Andrena chlorogaster,1,1,1,1,1,1,1,0,0,0,0,0
Andrena,NA,chlorura,NA,NA,Andrena chlorura,1,1,1,1,1,1,1,0,0,0,0,0
Andrena,NA,duboisi,NA,NA,Andrena duboisi,0,0,1,1,1,0,0,0,0,0,0,0
Andrena,NA,gnaphalii,NA,NA,Andrena gnaphalii,0,0,1,1,1,0,0,0,0,0,0,0
Andrena,NA,hypoleuca,NA,NA,Andrena hypoleuca,0,0,1,1,1,1,1,1,1,0,0,0
Andrena,NA,nigripes,NA,NA,Andrena nigripes,0,0,1,1,1,0,0,0,0,0,0,0
Andrena,NA,nigrocaerulea,NA,NA,Andrena nigrocaerulea,0,1,1,1,1,1,1,1,1,1,0,0
Andrena,NA,oenotherae,NA,NA,Andrena oenotherae,0,0,1,1,1,1,1,1,1,0,0,0
Andrena,NA,pallidifovea,NA,NA,Andrena pallidifovea,0,0,1,1,1,1,1,0,0,0,0,0
Andrena,NA,perimelas,NA,NA,Andrena perimelas,0,1,1,1,1,1,0,0,0,0,0,0
Andrena,NA,piperi,NA,NA,Andrena piperi,1,1,1,1,1,1,0,0,0,0,0,0
Andrena,NA,plana,NA,NA,Andrena plana,0,0,1,1,1,1,0,0,0,0,0,0
Andrena,NA,principalis,NA,NA,Andrena principalis,1,1,1,1,1,1,1,0,0,0,0,0
Andrena,NA,prunorum,NA,NA,Andrena prunorum,0,1,1,1,1,1,1,0,0,0,0,0
Andrena,NA,sola,NA,NA,Andrena sola,0,0,1,1,1,1,0,0,0,0,0,0
Andrena,NA,suavis,NA,NA,Andrena suavis,0,1,1,1,1,1,1,0,0,0,0,0
Andrena,NA,subaustralis,NA,NA,Andrena subaustralis,0,1,1,1,1,1,0,0,0,0,0,0
Andrena,NA,submoesta,NA,NA,Andrena submoesta,0,0,1,1,1,1,0,0,0,0,0,0
Andrena,NA,subtilis,NA,NA,Andrena subtilis,1,1,1,1,1,1,0,0,0,0,0,0
Andrena,NA,vandykei,NA,NA,Andrena vandykei,1,1,1,1,1,1,1,0,0,0,1,1
Calliopsis,(Micronomadopsis),sp.,NA,No species name,Calliopsis,0,0,0,1,1,1,1,1,1,0,0,0
Pseudopanurgus,NA,californicus,NA,NA,Pseudopanurgus californicus,0,0,0,0,1,1,1,0,0,0,0,0
Panurginus,NA,armaticeps,NA,NA,Panurginus armaticeps,0,0,0,1,1,0,0,0,0,0,0,0
Panurginus,NA,gracilis,NA,NA,Panurginus gracilis,0,1,1,1,1,0,0,0,0,0,0,0
