genus	subgenera	specificEpithet	infraSpecificEpithet	Notes
Andrena	NA	angustitarsata	NA	NA
Andrena	NA	anisochlora	NA	NA
Andrena	NA	auricoma	NA	NA
Andrena	NA	baeriae	NA	NA
Andrena	NA	caerulea	NA	NA
Andrena	NA	candida	NA	NA
Andrena	NA	chlorogaster	NA	NA
Andrena	NA	chlorura	NA	NA
Andrena	NA	duboisi	NA	NA
Andrena	NA	gnaphalii	NA	NA
Andrena	NA	hypoleuca	NA	NA
Andrena	NA	macrocephala	NA	NA
Andrena	NA	nigrocaerulea	NA	NA
Andrena	NA	oenotherae	NA	NA
Andrena	NA	pallidifovea	NA	NA
Andrena	NA	perimelas	NA	NA
Andrena	NA	piperi	NA	NA
Andrena	NA	plana	NA	NA
Andrena	NA	principalis	NA	NA
Andrena	NA	prunorum	NA	NA
Andrena	NA	sola	NA	NA
Andrena	NA	suavis	NA	NA
Andrena	NA	subaustralis	NA	NA
Andrena	NA	submoesta	NA	NA
Andrena	NA	subtilis	NA	NA
Andrena	NA	vandykei	NA	NA
Calliopsis	(Micronomadopsis)	sp.	NA	No species name
Heterosarus	NA	californicus	NA	NA
Panurginus	NA	armaticeps	NA	NA
Panurginus	NA	gracilis	NA	NA
Panurginus	NA	melanocephalus	NA	NA
Perdita	NA	layiae	NA	NA
Anthophora	NA	californica	NA	NA
Anthophora	NA	edwardsii	NA	NA
Anthophora	NA	urbana	NA	NA
Apis	NA	mellifera	NA	NA
Bombus	NA	californicus	NA	NA
Bombus	NA	crotchii	NA	NA
Bombus	NA	melanopygus	NA	NA
Bombus	NA	occidentalis	NA	NA
Bombus	NA	vosnesenskii	NA	NA
Ceratina	NA	acantha	NA	NA
Ceratina	NA	nanula	NA	NA
Diadasia	NA	australis	NA	NA
Diadasia	NA	bituberculata	NA	NA
Diadasia	NA	nigrifrons	NA	NA
Diadasia	NA	nitidifrons	NA	NA
Diadasia	NA	ochracea	NA	NA
Diadasia	NA	rinconis	NA	NA
Epeolus	NA	minimus	NA	NA
Eucera	NA	actuosa	NA	NA
Eucera	NA	amsinckiae	NA	NA
Eucera	NA	edwardsii	NA	NA
Eucera	NA	frater	albopilosa	NA
Eucera	NA	lunata	NA	NA
Exomalopsis	NA	cerei	NA	NA
Habropoda	NA	depressa	NA	NA
Habropoda	NA	miserabilis	NA	NA
Melecta	NA	separata	callura	NA
Melissodes	NA	lupina	NA	NA
Melissodes	NA	lustrus	NA	NA
Melissodes	NA	stearnsi	NA	NA
Melissodes	NA	tepida	timberlakei	NA
Nomada	NA	edwardsii	NA	NA
Nomada	NA	formula	NA	NA
Nomada	NA	hesperia	NA	NA
Nomada	NA	semisuavis	NA	NA
Nomada	NA	suavis	NA	NA
Triepeolus	NA	heterurus	NA	NA
Xeromelecta	NA	californica	NA	NA
Colletes	NA	hyalinus	gaudialis	NA
Colletes	NA	kincaidii	NA	NA
Colletes	NA	slevini	NA	NA
Hylaeus	NA	mesillae	NA	NA
Hylaeus	NA	polifolii	NA	NA
Hylaeus	NA	rudbeckiae	NA	NA
Agapostemon	NA	texanus	NA	NA
Augochlorella	NA	pomoniella	NA	NA
Halictus	NA	farinosus	NA	NA
Halictus	NA	harmonius	NA	NA
Halictus	NA	ligatus	NA	NA
Halictus	NA	rubicundus	NA	NA
Halictus	NA	seladonius	NA	NA
Halictus	NA	tripartitus	NA	NA
Lasioglossum	NA	albohirtum	NA	NA
Lasioglossum	NA	argemonis	NA	NA
Lasioglossum	NA	avalonense	NA	NA
Lasioglossum	NA	brunneiventre	NA	NA
Lasioglossum	NA	cabrilli	NA	NA
Lasioglossum	NA	californiae	NA	NA
Lasioglossum	NA	channelense	NA	NA
Lasioglossum	NA	diversopunctatum	NA	NA
Lasioglossum	NA	hammondi	NA	NA
Lasioglossum	NA	hyalinum	NA	NA
Lasioglossum	NA	incompletum	NA	NA
Lasioglossum	NA	kincaidii	NA	NA
Lasioglossum	NA	mellipes	NA	NA
Lasioglossum	NA	microlepoides	NA	NA
Lasioglossum	NA	miguelense	NA	NA
Lasioglossum	NA	nevadense	NA	NA
Lasioglossum	NA	nigrescens	NA	NA
Lasioglossum	NA	ovaliceps	NA	NA
Lasioglossum	NA	perichlarus	NA	NA
Lasioglossum	NA	punctatoventre	NA	NA
Lasioglossum	NA	tegulare	NA	NA
Lasioglossum	NA	titusi	NA	NA
Sphecodes	NA	sp.	NA	No species name
Anthidium	NA	collectum	NA	NA
Anthidium	NA	illustre	NA	NA
Anthidium	NA	maculosum	NA	NA
Ashmeadiella	NA	cactorum	basalis	NA
Ashmeadiella	NA	chumashae	NA	NA
Ashmeadiella	NA	cubiceps	NA	NA
Ashmeadiella	NA	opuntiae	NA	NA
Ashmeadiella	NA	timberlakei	NA	NA
Ashmeadiella	NA	xenomastax	NA	NA
Atoposmia	NA	copelandica	albomarginata	NA
Coelioxys	NA	octodentata	NA	NA
Dioxys	NA	productus	cismontanicus	NA
Megachile	NA	angelarum	NA	NA
Megachile	NA	apicalis	NA	NA
Megachile	NA	brevis	NA	NA
Megachile	NA	coquilletti	NA	NA
Megachile	NA	fidelis	NA	NA
Megachile	NA	montivaga	NA	NA
Megachile	NA	onobrychidis	NA	NA
Megachile	NA	rotundata	NA	NA
Osmia	NA	albolateralis	NA	NA
Osmia	NA	austromaritima	NA	NA
Osmia	NA	bruneri	NA	NA
Osmia	NA	californica	NA	NA
Osmia	NA	calla	NA	NA
Osmia	NA	clarescens	NA	NA
Osmia	NA	coloradensis	NA	NA
Osmia	NA	gabrielis	NA	NA
Osmia	NA	gaudiosa	NA	NA
Osmia	NA	kincaidii	NA	NA
Osmia	NA	laeta	NA	NA
Osmia	NA	nemoris	NA	NA
Osmia	NA	tristella	NA	NA
Protosmia	NA	rubifloris	NA	NA
Stelis	NA	sp.	NA	No species name
