family,genus
Apidae,Anthophora
Apidae,Habropoda
Apidae,Apis
Apidae,Bombus
Apidae,Centris
Apidae,Ancyloscelis
Apidae,Diadasia
Apidae,Melitoma
Apidae,Ptilothrix
Apidae,Cemolobus
Apidae,Eucera
Apidae,Florilegus
Apidae,Martinapis
Apidae,Melissodes
Apidae,Peponapis
Apidae,Simanthedon
Apidae,Svastra
Apidae,Syntrichalonia
Apidae,Tetraloniella
Apidae,Xenoglossa
Apidae,Euglossa
Apidae,Anthophorula
Apidae,Exomalopsis
Apidae,Melecta
Apidae,Brachymelecta
Apidae,Zacosmia
Apidae,Holcopasites
Apidae,Neopasites
Apidae,Nomada
Apidae,Oreopasites
Apidae,Epeolus
Apidae,Ericrocis
Apidae,Triepeolus
Apidae,Neolarra
Apidae,Ceratina
Apidae,Xylocopa
