"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1","Andrena angustitarsata","Andrena mustelicolor","Pterandrena nudiscopa","Andrena opaciventris","Andrena (Andrena) friesei","Andrena (Andrena) angustitarsata race huardi Viereck","Andrena opacissima","Andrena (Platandrena) opacibasis","Andrena (Simandrena) angustitarsata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Andrena anisochlora","Andrena (Micrandrena) dinognatha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Andrena auricoma","Andrena (Xanthandrena) auricoma","Andrena (Euandrena) auricoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Andrena baeriae","Andrena (Hesperandrena) baeriae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Andrena caerulea","Andrena coerulea ","Pterandrena erigenoides","Pterandrena crypta","Pterandrena acrypta","Pterandrena complexa","Andrena (Ptilandrena) francisca","Andrena supervirens","Andrena supervirens ","Andrena (Andrena) innominata","Andrena (Ptilandrena) supervirens ","Andrena erigenoides","Andrena crypta","Andrena acrypta","Andrena complexa","Andrena (Euandrena) caerulea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Andrena candida","Andrena chlorinella","Andrena xanthostigma","Andrena subcandida","Andrena (Andrena) candida race tramoserica Viereck","Andrena (Thyandrena) candida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","Andrena chlorogaster","Andrena (Andrena) subtilicornis","Andrena (Micrandrena) nitidicornis","Andrena (Micrandrena) catalinica","Andrena (Micrandrena) chlorogaster nesiotes","Andrena (Micrandrena) chlorogaster gavilanica","Andrena (Micrandrena) radialis","Andrena (Micrandrena) chlorogaster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","Andrena chlorura","Andrena (Andrena) complicata","Andrena (Andrena) claremonti","Andrena ablusula","Andrena clementina","Andrena (Euandrena) chlorura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","Andrena duboisi","Andrena (Hesperandrena) duboisi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","Andrena gnaphalii","Diandrena gnaphalii","Andrena (Diandrena) gnaphalii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
