"","bee.species","plant.species","max_prob","bee.names","plant.names"
"1","1","1",9e-04,"Andrena angustitarsata","Carpobrotus chilensis"
"2","1","10",7e-04,"Andrena angustitarsata","Asclepias fascicularis"
"3","1","100",3e-04,"Andrena angustitarsata","Lythrum californicum"
"4","1","101",2e-04,"Andrena angustitarsata","Lythrum hyssopifolia"
"5","1","102",6e-04,"Andrena angustitarsata","Abronia maritima"
"6","1","103",3e-04,"Andrena angustitarsata","Abronia umbellata var. umbellata"
"7","1","104",8e-04,"Andrena angustitarsata","Clarkia davyi"
"8","1","105",8e-04,"Andrena angustitarsata","Clarkia epilobioides"
"9","1","106",8e-04,"Andrena angustitarsata","Clarkia purpurea subsp. quadrivulnera"
"10","1","107",4e-04,"Andrena angustitarsata","Clarkia unguiculata"
"11","1","108",0.0015,"Andrena angustitarsata","Oxalis californica"
"12","1","109",0.0022,"Andrena angustitarsata","Oxalis corniculata"
"13","1","11",9e-04,"Andrena angustitarsata","Achillea millefolium"
"14","1","110",0.0016,"Andrena angustitarsata","Oxalis pes-caprae"
"15","1","111",0.0046,"Andrena angustitarsata","Dendromecon harfordii"
"16","1","112",0.0013,"Andrena angustitarsata","Eschscholzia californica"
"17","1","113",0.001,"Andrena angustitarsata","Eschscholzia ramosa"
"18","1","114",2e-04,"Andrena angustitarsata","Keckiella cordifolia"
"19","1","115",0.0012,"Andrena angustitarsata","Ceanothus arboreus"
"20","1","116",0.001,"Andrena angustitarsata","Heteromeles arbutifolia"
"21","1","117",8e-04,"Andrena angustitarsata","Rosa californica"
"22","1","118",3e-04,"Andrena angustitarsata","Solanum douglasii"
"23","1","119",4e-04,"Andrena angustitarsata","Solanum elaeagnifolium"
"24","1","12",8e-04,"Andrena angustitarsata","Anthemis cotula"
"25","1","120",4e-04,"Andrena angustitarsata","Solanum wallacei"
"26","1","121",6e-04,"Andrena angustitarsata","Calochortus albus"
"27","1","122",0.0011,"Andrena angustitarsata","Calochortus catalinae"
"28","1","123",0.0046,"Andrena angustitarsata","Calochortus luteus"
"29","1","124",8e-04,"Andrena angustitarsata","Ceanothus megacarpus var. insularis"
"30","1","125",3e-04,"Andrena angustitarsata","Lupinus albifrons var. albifrons"
"31","1","126",4e-04,"Andrena angustitarsata","Raphanus raphanistrum"
"32","1","13",0.0056,"Andrena angustitarsata","Centaurea benedicta"
"33","1","14",0.0058,"Andrena angustitarsata","Centaurea melitensis"
"34","1","15",0.0051,"Andrena angustitarsata","Centaurea solstitialis"
"35","1","16",9e-04,"Andrena angustitarsata","Cichorium intybus"
"36","1","17",8e-04,"Andrena angustitarsata","Cirsium brevistylum"
"37","1","18",0.0012,"Andrena angustitarsata","Cirsium occidentale var. californicum"
"38","1","19",5e-04,"Andrena angustitarsata","Cirsium occidentale var. occidentale"
"39","1","2",0.0059,"Andrena angustitarsata","Carpobrotus edulis"
"40","1","20",7e-04,"Andrena angustitarsata","Cirsium vulgare"
"41","1","21",9e-04,"Andrena angustitarsata","Corethrogyne filaginifolia"
"42","1","22",0.0048,"Andrena angustitarsata","Encelia californica"
"43","1","23",8e-04,"Andrena angustitarsata","Erigeron bonariensis"
"44","1","24",6e-04,"Andrena angustitarsata","Erigeron canadensis"
"45","1","25",9e-04,"Andrena angustitarsata","Erigeron foliosus var. foliosus"
"46","1","26",0.0014,"Andrena angustitarsata","Erigeron glaucus"
"47","1","27",0,"Andrena angustitarsata","Erigeron sanctarum"
"48","1","28",0.0011,"Andrena angustitarsata","Erigeron sumatrensis"
"49","1","29",0.005,"Andrena angustitarsata","Glebionis coronaria"
"50","1","3",0.001,"Andrena angustitarsata","Mesembryanthemum crystallinum"
"51","1","30",0.0042,"Andrena angustitarsata","Helianthus annuus"
"52","1","31",0.0044,"Andrena angustitarsata","Helminthotheca echioides"
"53","1","32",0.0047,"Andrena angustitarsata","Heterotheca grandiflora"
"54","1","33",0.0055,"Andrena angustitarsata","Layia platyglossa"
"55","1","34",0.0038,"Andrena angustitarsata","Lepidospartum squamatum"
"56","1","35",6e-04,"Andrena angustitarsata","Pseudognaphalium beneolens"
"57","1","36",0.001,"Andrena angustitarsata","Pseudognaphalium biolettii"
"58","1","37",9e-04,"Andrena angustitarsata","Pseudognaphalium californicum"
"59","1","38",0.001,"Andrena angustitarsata","Pseudognaphalium luteoalbum"
"60","1","39",0.0012,"Andrena angustitarsata","Pseudognaphalium microcephalum"
"61","1","4",0.0012,"Andrena angustitarsata","Mesembryanthemum nodiflorum"
"62","1","40",5e-04,"Andrena angustitarsata","Pseudognaphalium ramosissimum"
"63","1","41",0.0052,"Andrena angustitarsata","Pseudognaphalium stramineum"
"64","1","42",0.0051,"Andrena angustitarsata","Sonchus asper subsp. asper"
"65","1","43",0.0058,"Andrena angustitarsata","Sonchus oleraceus"
"66","1","44",0.0014,"Andrena angustitarsata","Stephanomeria cichoriacea"
"67","1","45",4e-04,"Andrena angustitarsata","Stephanomeria diegensis"
"68","1","46",7e-04,"Andrena angustitarsata","Stephanomeria exigua ssp. coronaria"
"69","1","47",3e-04,"Andrena angustitarsata","Stephanomeria virgata subsp. virgata"
"70","1","48",7e-04,"Andrena angustitarsata","Symphyotrichum chilense"
"71","1","49",9e-04,"Andrena angustitarsata","Symphyotrichum subulatum"
"72","1","5",8e-04,"Andrena angustitarsata","Rhus integrifolia"
"73","1","50",0.0047,"Andrena angustitarsata","Venegasia carpesioides"
"74","1","51",0.0055,"Andrena angustitarsata","Brassica nigra"
"75","1","52",0.0051,"Andrena angustitarsata","Brassica rapa"
"76","1","53",9e-04,"Andrena angustitarsata","Cakile maritima"
"77","1","54",0.0016,"Andrena angustitarsata","Hirschfeldia incana"
"78","1","55",9e-04,"Andrena angustitarsata","Cylindropuntia prolifera"
"79","1","56",0.0053,"Andrena angustitarsata","Opuntia ficus-indica"
"80","1","57",0.0047,"Andrena angustitarsata","Opuntia littoralis"
"81","1","58",0.005,"Andrena angustitarsata","Opuntia oricola"
"82","1","59",0.0054,"Andrena angustitarsata","Crocanthemum greenei"
"83","1","6",9e-04,"Andrena angustitarsata","Rhus ovata"
"84","1","60",0.0051,"Andrena angustitarsata","Crocanthemum scoparium"
"85","1","61",8e-04,"Andrena angustitarsata","Convolvulus arvensis"
"86","1","62",0.001,"Andrena angustitarsata","Convolvulus simulans"
"87","1","63",0.0011,"Andrena angustitarsata","Cucurbita foetidissima"
"88","1","64",8e-04,"Andrena angustitarsata","Croton setiger"
"89","1","65",8e-04,"Andrena angustitarsata","Euphorbia maculata"
"90","1","66",0.0011,"Andrena angustitarsata","Euphorbia misera"
"91","1","67",0.0013,"Andrena angustitarsata","Euphorbia peplus"
"92","1","68",0.0054,"Andrena angustitarsata","Euphorbia spathulata"
"93","1","69",0.0014,"Andrena angustitarsata","Lotus corniculatus"
"94","1","7",9e-04,"Andrena angustitarsata","Toxicodendron diversilobum"
"95","1","70",0.001,"Andrena angustitarsata","Lupinus arboreus"
"96","1","71",4e-04,"Andrena angustitarsata","Lupinus bicolor"
"97","1","72",1e-04,"Andrena angustitarsata","Lupinus concinnus"
"98","1","73",4e-04,"Andrena angustitarsata","Lupinus hirsutissimus"
"99","1","74",2e-04,"Andrena angustitarsata","Lupinus microcarpus var. microcarpus"
"100","1","75",3e-04,"Andrena angustitarsata","Lupinus succulentus"
"101","1","76",1e-04,"Andrena angustitarsata","Lupinus truncatus"
"102","1","77",0.0016,"Andrena angustitarsata","Medicago polymorpha"
"103","1","78",3e-04,"Andrena angustitarsata","Medicago sativa"
"104","1","79",4e-04,"Andrena angustitarsata","Trifolium albopurpureum"
"105","1","8",0.0014,"Andrena angustitarsata","Daucus pusillus"
"106","1","80",4e-04,"Andrena angustitarsata","Trifolium ciliolatum"
"107","1","81",3e-04,"Andrena angustitarsata","Trifolium depauperatum var. truncatum"
"108","1","82",1e-04,"Andrena angustitarsata","Trifolium fucatum"
"109","1","83",4e-04,"Andrena angustitarsata","Trifolium gracilentum"
"110","1","84",1e-04,"Andrena angustitarsata","Trifolium macraei"
"111","1","85",1e-04,"Andrena angustitarsata","Trifolium microcephalum"
"112","1","86",4e-04,"Andrena angustitarsata","Trifolium variegatum var. major"
"113","1","87",4e-04,"Andrena angustitarsata","Trifolium willdenovii"
"114","1","88",0.0011,"Andrena angustitarsata","Frankenia salina"
"115","1","89",8e-04,"Andrena angustitarsata","Phacelia cicutaria var. hispida"
"116","1","9",0.0048,"Andrena angustitarsata","Foeniculum vulgare"
"117","1","90",0.0011,"Andrena angustitarsata","Phacelia distans"
"118","1","91",9e-04,"Andrena angustitarsata","Phacelia grandiflora"
"119","1","92",6e-04,"Andrena angustitarsata","Phacelia hubbyi"
"120","1","93",8e-04,"Andrena angustitarsata","Phacelia ramosissima"
"121","1","94",0.001,"Andrena angustitarsata","Phacelia viscida var. viscida"
"122","1","95",3e-04,"Andrena angustitarsata","Marrubium vulgare"
"123","1","96",4e-04,"Andrena angustitarsata","Salvia columbariae"
"124","1","97",4e-04,"Andrena angustitarsata","Salvia leucophylla"
"125","1","98",4e-04,"Andrena angustitarsata","Salvia mellifera"
"126","1","99",5e-04,"Andrena angustitarsata","Stachys bullata"
"127","10","1",0.001,"Andrena gnaphalii","Carpobrotus chilensis"
"128","10","10",0,"Andrena gnaphalii","Asclepias fascicularis"
"129","10","100",4e-04,"Andrena gnaphalii","Lythrum californicum"
"130","10","101",2e-04,"Andrena gnaphalii","Lythrum hyssopifolia"
"131","10","102",4e-04,"Andrena gnaphalii","Abronia maritima"
"132","10","103",4e-04,"Andrena gnaphalii","Abronia umbellata var. umbellata"
"133","10","104",6e-04,"Andrena gnaphalii","Clarkia davyi"
"134","10","105",0.0014,"Andrena gnaphalii","Clarkia epilobioides"
"135","10","106",0.0014,"Andrena gnaphalii","Clarkia purpurea subsp. quadrivulnera"
"136","10","107",0,"Andrena gnaphalii","Clarkia unguiculata"
"137","10","108",0.0016,"Andrena gnaphalii","Oxalis californica"
"138","10","109",0.0019,"Andrena gnaphalii","Oxalis corniculata"
"139","10","11",0.0011,"Andrena gnaphalii","Achillea millefolium"
"140","10","110",0.002,"Andrena gnaphalii","Oxalis pes-caprae"
"141","10","111",0.0063,"Andrena gnaphalii","Dendromecon harfordii"
"142","10","112",0.0017,"Andrena gnaphalii","Eschscholzia californica"
"143","10","113",0.0016,"Andrena gnaphalii","Eschscholzia ramosa"
"144","10","114",6e-04,"Andrena gnaphalii","Keckiella cordifolia"
"145","10","115",0.001,"Andrena gnaphalii","Ceanothus arboreus"
"146","10","116",0,"Andrena gnaphalii","Heteromeles arbutifolia"
"147","10","117",0.0014,"Andrena gnaphalii","Rosa californica"
"148","10","118",2e-04,"Andrena gnaphalii","Solanum douglasii"
"149","10","119",4e-04,"Andrena gnaphalii","Solanum elaeagnifolium"
"150","10","12",0.001,"Andrena gnaphalii","Anthemis cotula"
"151","10","120",3e-04,"Andrena gnaphalii","Solanum wallacei"
"152","10","121",9e-04,"Andrena gnaphalii","Calochortus albus"
"153","10","122",0.0016,"Andrena gnaphalii","Calochortus catalinae"
"154","10","123",0.0051,"Andrena gnaphalii","Calochortus luteus"
"155","10","124",0.0014,"Andrena gnaphalii","Ceanothus megacarpus var. insularis"
"156","10","125",4e-04,"Andrena gnaphalii","Lupinus albifrons var. albifrons"
"157","10","126",4e-04,"Andrena gnaphalii","Raphanus raphanistrum"
"158","10","13",0.006,"Andrena gnaphalii","Centaurea benedicta"
"159","10","14",0.0077,"Andrena gnaphalii","Centaurea melitensis"
"160","10","15",0.0053,"Andrena gnaphalii","Centaurea solstitialis"
"161","10","16",0,"Andrena gnaphalii","Cichorium intybus"
"162","10","17",0.001,"Andrena gnaphalii","Cirsium brevistylum"
"163","10","18",0.0013,"Andrena gnaphalii","Cirsium occidentale var. californicum"
"164","10","19",0.0013,"Andrena gnaphalii","Cirsium occidentale var. occidentale"
"165","10","2",0.0062,"Andrena gnaphalii","Carpobrotus edulis"
"166","10","20",0,"Andrena gnaphalii","Cirsium vulgare"
"167","10","21",0,"Andrena gnaphalii","Corethrogyne filaginifolia"
"168","10","22",0.0072,"Andrena gnaphalii","Encelia californica"
"169","10","23",0,"Andrena gnaphalii","Erigeron bonariensis"
"170","10","24",0,"Andrena gnaphalii","Erigeron canadensis"
"171","10","25",0.0013,"Andrena gnaphalii","Erigeron foliosus var. foliosus"
"172","10","26",0.0016,"Andrena gnaphalii","Erigeron glaucus"
"173","10","27",0,"Andrena gnaphalii","Erigeron sanctarum"
"174","10","28",8e-04,"Andrena gnaphalii","Erigeron sumatrensis"
"175","10","29",0.0061,"Andrena gnaphalii","Glebionis coronaria"
"176","10","3",0.0014,"Andrena gnaphalii","Mesembryanthemum crystallinum"
