"","beeID","plantID","monthID","sourceID","y"
"5",1,1,6,7,0
"12",1,2,6,7,0
"18",1,3,6,7,0
"22",1,4,6,7,0
"34",1,7,6,7,0
"37",1,8,6,7,0
"39",1,9,6,7,0
"42",1,10,6,7,0
"47",1,11,6,7,0
"51",1,12,6,7,0
"56",1,13,6,7,0
"59",1,14,6,7,0
"64",1,15,6,7,0
"71",1,17,6,7,0
"74",1,18,6,7,0
"77",1,19,6,7,0
"79",1,20,6,7,0
"82",1,21,6,7,0
"89",1,22,6,7,0
"90",1,23,6,7,0
"93",1,24,6,7,0
"97",1,25,6,7,0
"104",1,26,6,7,0
"108",1,28,6,7,0
"114",1,29,6,7,0
"116",1,30,6,7,0
"119",1,31,6,7,0
"126",1,32,6,7,0
"134",1,35,6,7,0
"145",1,37,6,7,0
"150",1,38,6,7,0
"155",1,40,6,7,0
"159",1,41,6,7,0
"166",1,42,6,7,0
"173",1,43,6,7,0
"177",1,44,6,7,0
"181",1,46,6,7,0
"195",1,51,6,7,0
"201",1,52,6,7,0
"206",1,53,6,7,0
"213",1,54,6,7,0
"218",1,55,6,7,0
"223",1,57,6,7,0
"226",1,58,6,7,0
"230",1,59,6,7,0
"235",1,60,6,7,0
"238",1,61,6,7,0
"244",1,62,6,7,0
"246",1,63,6,7,0
"250",1,64,6,7,0
"253",1,65,6,7,0
"260",1,66,6,7,0
"267",1,67,6,7,0
"274",1,69,6,7,0
"281",1,71,6,7,0
"289",1,74,6,7,0
"301",1,77,6,7,0
"302",1,78,6,7,0
"308",1,79,6,7,0
"317",1,82,6,7,0
"320",1,83,6,7,0
"326",1,85,6,7,0
"330",1,86,6,7,0
"335",1,88,6,7,0
"344",1,90,6,7,0
"349",1,91,6,7,0
"352",1,92,6,7,0
"354",1,93,6,7,0
"360",1,94,6,7,0
"362",1,95,6,7,0
"368",1,96,6,7,0
"371",1,97,6,7,0
"376",1,98,6,7,0
"380",1,99,6,7,0
"384",1,100,6,7,0
"389",1,101,6,7,0
"396",1,102,6,7,0
"403",1,103,6,7,0
"407",1,104,6,7,0
"412",1,106,6,7,0
"414",1,107,6,7,0
"421",1,108,6,7,0
"426",1,109,6,7,0
"433",1,110,6,7,0
"437",1,111,6,7,0
"444",1,112,6,7,0
"453",1,114,6,7,0
"459",1,116,6,7,0
"463",1,117,6,7,0
"470",1,118,6,7,0
"474",1,119,6,7,0
"480",1,120,6,7,0
"488",1,122,6,7,0
"490",1,123,6,7,0
"496",1,125,6,7,0
"502",1,126,6,7,0
"509",2,1,6,7,0
"514",2,2,6,7,0
"518",2,3,6,7,0
"520",2,4,6,7,0
"530",2,7,6,7,0
"533",2,8,6,7,0
"535",2,9,6,7,0
"536",2,10,6,7,0
"539",2,11,6,7,0
"541",2,12,6,7,0
"544",2,13,6,7,0
"547",2,14,6,7,0
"550",2,15,6,7,0
"553",2,17,6,7,0
"555",2,18,6,7,0
"557",2,19,6,7,0
"558",2,20,6,7,0
"559",2,21,6,7,0
"564",2,22,6,7,0
"565",2,23,6,7,0
"566",2,24,6,7,0
"568",2,25,6,7,0
"574",2,26,6,7,0
"576",2,28,6,7,0
"580",2,29,6,7,0
"581",2,30,6,7,0
"582",2,31,6,7,0
"588",2,32,6,7,0
"593",2,35,6,7,0
"604",2,37,6,7,0
"608",2,38,6,7,0
"609",2,40,6,7,0
"611",2,41,6,7,0
"616",2,42,6,7,0
"622",2,43,6,7,0
"624",2,44,6,7,0
"625",2,46,6,7,0
"632",2,51,6,7,0
"638",2,52,6,7,0
"644",2,53,6,7,0
"650",2,54,6,7,0
"653",2,55,6,7,0
"655",2,57,6,7,0
"658",2,58,6,7,0
"662",2,59,6,7,0
"666",2,60,6,7,0
"669",2,61,6,7,0
"673",2,62,6,7,0
"674",2,63,6,7,0
"676",2,64,6,7,0
"677",2,65,6,7,0
"683",2,66,6,7,0
"688",2,67,6,7,0
"693",2,69,6,7,0
"699",2,71,6,7,0
"707",2,74,6,7,0
"719",2,77,6,7,0
"720",2,78,6,7,0
"724",2,79,6,7,0
"733",2,82,6,7,0
"736",2,83,6,7,0
"742",2,85,6,7,0
"746",2,86,6,7,0
"750",2,88,6,7,0
"757",2,90,6,7,0
"762",2,91,6,7,0
