bee.family,bee.names
Megachilidae,Anthidium maculosum
Andrenidae,Andrena nigripes
Andrenidae,Andrena nigrocaerulea
Megachilidae,Osmia coloradensis
Andrenidae,Andrena plana
Andrenidae,Andrena auricoma
Apidae,Anthophora californica
Apidae,Anthophora urbana
Apidae,Bombus californicus
Apidae,Bombus crotchii
Apidae,Bombus melanopygus
Apidae,Bombus vosnesenskii
Apidae,Ceratina acantha
Apidae,Diadasia bituberculata
Apidae,Diadasia rinconis
Apidae,Eucera lunata
Apidae,Habropoda depressa
Halictidae,Agapostemon texanus
Halictidae,Augochlorella pomoniella
Halictidae,Halictus farinosus
Halictidae,Halictus ligatus
Halictidae,Halictus tripartitus
Halictidae,Lasioglossum ovaliceps
