Family	Genus	Species	ScientificName	ScientificNameAuthorship
Andrenidae	Andrena	angustitarsata	Andrena angustitarsata	Viereck, 1904
Andrenidae	Andrena	anisochlora	Andrena anisochlora	Cockerell, 1936
Andrenidae	Andrena	auricoma	Andrena auricoma	Smith, 1879
Andrenidae	Andrena	baeriae	Andrena baeriae	Timberlake, 1941
Andrenidae	Andrena	caerulea	Andrena caerulea	Smith, 1879
Andrenidae	Andrena	candida	Andrena candida	Smith, 1879
Andrenidae	Andrena	chlorogaster	Andrena chlorogaster	Viereck, 1904
Andrenidae	Andrena	chlorura	Andrena chlorura	Cockerell, 1916
Andrenidae	Andrena	duboisi	Andrena duboisi	Timberlake, 1951
Andrenidae	Andrena	gnaphalii	Andrena gnaphalii	Cockerell, 1938
Andrenidae	Andrena	hypoleuca	Andrena hypoleuca	Cockerell, 1939
Andrenidae	Andrena	macrocephala	Andrena macrocephala	Cockerell, 1916
Andrenidae	Andrena	nigrocaerulea	Andrena nigrocaerulea	Cockerell, 1897
Andrenidae	Andrena	oenotherae	Andrena oenotherae	Timberlake, 1937
Andrenidae	Andrena	pallidifovea	Andrena pallidifovea	(Viereck, 1904)
Andrenidae	Andrena	perimelas	Andrena perimelas	Cockerell, 1905
Andrenidae	Andrena	piperi	Andrena piperi	Viereck, 1904
Andrenidae	Andrena	plana	Andrena plana	Viereck, 1904
Andrenidae	Andrena	principalis	Andrena principalis	LaBerge, 1986
Andrenidae	Andrena	prunorum	Andrena prunorum	Cockerell, 1896
Andrenidae	Andrena	sola	Andrena sola	Viereck, 1917
Andrenidae	Andrena	suavis	Andrena suavis	Timberlake, 1938
Andrenidae	Andrena	subaustralis	Andrena subaustralis	Cockerell, 1898
Andrenidae	Andrena	submoesta	Andrena submoesta	Viereck, 1917
Andrenidae	Andrena	subtilis	Andrena subtilis	Smith, 1879
Andrenidae	Andrena	vandykei	Andrena vandykei	Cockerell, 1936
Andrenidae	Calliopsis		Calliopsis (Micronomadopsis)	Smith, 1853
Andrenidae	Heterosarus	californicus	Heterosarus californicus	Cresson, 1878
Andrenidae	Panurginus	armaticeps	Panurginus armaticeps	Cockerell, 1916
Andrenidae	Panurginus	gracilis	Panurginus gracilis	Michener, 1935
Andrenidae	Panurginus	melanocephalus	Panurginus melanocephalus	(Cockerell, 1926)
Andrenidae	Perdita	layiae	Perdita layiae	Cockerell, 1938
Apidae	Anthophora	californica	Anthophora californica	Cresson, 1869
Apidae	Anthophora	edwardsii	Anthophora edwardsii	Cresson, 1878
Apidae	Anthophora	urbana	Anthophora urbana	Cresson, 1878
Apidae	Apis	mellifera	Apis mellifera	Linnaeus, 1758
Apidae	Bombus	californicus	Bombus californicus	Smith, 1854
Apidae	Bombus	crotchii	Bombus crotchii	Cresson, 1878
Apidae	Bombus	melanopygus	Bombus melanopygus	Nylander, 1848
Apidae	Bombus	occidentalis	Bombus occidentalis	Greene, 1858
Apidae	Bombus	vosnesenskii	Bombus vosnesenskii	Radoszkowski, 1862
Apidae	Ceratina	acantha	Ceratina acantha	Provancher, 1895
Apidae	Ceratina	nanula	Ceratina nanula	Cockerell, 1897
Apidae	Diadasia	australis	Diadasia australis	(Cresson, 1878)
Apidae	Diadasia	bituberculata	Diadasia bituberculata	(Cresson, 1878)
Apidae	Diadasia	nigrifrons	Diadasia nigrifrons	(Cresson, 1878)
Apidae	Diadasia	nitidifrons	Diadasia nitidifrons	Cockerell, 1905
Apidae	Diadasia	ochracea	Diadasia ochracea	(Cockerell, 1903)
Apidae	Diadasia	rinconis	Diadasia rinconis	Cockerell, 1897
Apidae	Epeolus	minimus	Epeolus minimus	(Robertson, 1902)
Apidae	Eucera	actuosa	Eucera actuosa	(Cresson, 1878)
Apidae	Eucera	amsinckiae	Eucera amsinckiae	(Timberlake, 1969)
Apidae	Eucera	edwardsii	Eucera edwardsii	(Cresson, 1878)
Apidae	Eucera	frater	Eucera frater albopilosa	(Fowler, 1899)
Apidae	Eucera	lunata	Eucera lunata	(Timberlake, 1969)
Apidae	Exomalopsis	cerei	Exomalopsis cerei	Timberlake, 1947
Apidae	Habropoda	depressa	Habropoda depressa	Fowler, 1899
Apidae	Habropoda	miserabilis	Habropoda miserabilis	Cresson, 1879
Apidae	Melecta	separata	Melecta separata callura	Cresson, 1879
Apidae	Melissodes	lupina	Melissodes lupina	Cresson, 1878
Apidae	Melissodes	lustrus	Melissodes lustrus	LaBerge, 1961
Apidae	Melissodes	stearnsi	Melissodes stearnsi	Cockerell, 1905
Apidae	Melissodes	tepida	Melissodes tepida timberlakei	Cockerell, 1926
Apidae	Nomada	edwardsii	Nomada edwardsii	Cresson, 1878
Apidae	Nomada	formula	Nomada formula	Viereck, 1902
Apidae	Nomada	hesperia	Nomada hesperia	Cockerell, 1903
Apidae	Nomada	semisuavis	Nomada semisuavis	Cockerell, 1910
Apidae	Nomada	suavis	Nomada suavis	Cresson, 1978
Apidae	Triepeolus	heterurus	Triepeolus heterurus	Cockerell & Sandhouse, 1924
Apidae	Xeromelecta	californica	Xeromelecta californica	(Cresson, 1878)
Colletidae	Colletes	hyalinus	Colletes hyalinus gaudialis	Cockerell, 1905
Colletidae	Colletes	kincaidii	Colletes kincaidii	Cockerell, 1898
Colletidae	Colletes	slevini	Colletes slevini	Cockerell, 1925
Colletidae	Hylaeus	mesillae	Hylaeus mesillae	(Cockerell, 1896)
Colletidae	Hylaeus	polifolii	Hylaeus polifolii	(Cockerell, 1901)
Colletidae	Hylaeus	rudbeckiae	Hylaeus rudbeckiae	(Cockerell and Casad, 1895)
Halictidae	Agapostemon	texanus	Agapostemon texanus	Cresson, 1872
Halictidae	Augochlorella	pomoniella	Augochlorella pomoniella	(Cockerell, 1915)
Halictidae	Halictus	farinosus	Halictus farinosus	Smith, 1853
Halictidae	Halictus	harmonius	Halictus harmonius	Sandhouse, 1941
Halictidae	Halictus	ligatus	Halictus ligatus	Say, 1837
Halictidae	Halictus	rubicundus	Halictus rubicundus	(Christ, 1791)
Halictidae	Halictus	seladonius	Halictus seladonius	(Fabricius, 1794)
Halictidae	Halictus	tripartitus	Halictus tripartitus	Cockerell, 1895
Halictidae	Lasioglossum	albohirtum	Lasioglossum albohirtum	(Crawford, 1907)
Halictidae	Lasioglossum	argemonis	Lasioglossum argemonis	(Cockerell, 1897)
Halictidae	Lasioglossum	avalonense	Lasioglossum avalonense	(Cockerell, 1938)
Halictidae	Lasioglossum	brunneiventre	Lasioglossum brunneiventre	(Crawford, 1907)
Halictidae	Lasioglossum	cabrilli	Lasioglossum cabrilli	(Cockerell, 1937)
Halictidae	Lasioglossum	californiae	Lasioglossum californiae	(Ellis, 1924)
Halictidae	Lasioglossum	channelense	Lasioglossum channelense	McGinley, 1986
Halictidae	Lasioglossum	diversopunctatum	Lasioglossum diversopunctatum	(Ellis, 1914)
Halictidae	Lasioglossum	hammondi	Lasioglossum hammondi	(Cockerell, 1938)
Halictidae	Lasioglossum	hyalinum	Lasioglossum hyalinum	(Crawford, 1907)
Halictidae	Lasioglossum	incompletum	Lasioglossum incompletum	(Crawford, 1907)
Halictidae	Lasioglossum	kincaidii	Lasioglossum kincaidii	(Cockerell, 1898)
Halictidae	Lasioglossum	mellipes	Lasioglossum mellipes	(Crawford, 1907)
Halictidae	Lasioglossum	microlepoides	Lasioglossum microlepoides	(Ellis, 1914)
Halictidae	Lasioglossum	miguelense	Lasioglossum miguelense	(Cockerell, 1937)
Halictidae	Lasioglossum	nevadense	Lasioglossum nevadense	(Crawford, 1907)
Halictidae	Lasioglossum	nigrescens	Lasioglossum nigrescens	(Crawford, 1907)
Halictidae	Lasioglossum	ovaliceps	Lasioglossum ovaliceps	(Cockerell, 1898)
Halictidae	Lasioglossum	perichlarus	Lasioglossum perichlarus	(Cockerell, 1937)
Halictidae	Lasioglossum	punctatoventre	Lasioglossum punctatoventre	(Crawford, 1907)
Halictidae	Lasioglossum	tegulare	Lasioglossum tegulare	(Robertson, 1890)
Halictidae	Lasioglossum	titusi	Lasioglossum titusi	(Crawford, 1902)
Halictidae	Sphecodes		Sphecodes	Latreille, 1804
Megachilidae	Anthidium	collectum	Anthidium collectum	Huard, 1896
Megachilidae	Anthidium	illustre	Anthidium illustre	Cresson, 1879
Megachilidae	Anthidium	maculosum	Anthidium maculosum	Cresson, 1878
Megachilidae	Ashmeadiella	cactorum	Ashmeadiella cactorum basalis	Michener, 1936
Megachilidae	Ashmeadiella	chumashae	Ashmeadiella chumashae	Griswold, 1895
Megachilidae	Ashmeadiella	cubiceps	Ashmeadiella cubiceps	(Cresson, 1879)
Megachilidae	Ashmeadiella	opuntiae	Ashmeadiella opuntiae	(Cockerell, 1897)
Megachilidae	Ashmeadiella	timberlakei	Ashmeadiella timberlakei	Michener, 1936
Megachilidae	Ashmeadiella	xenomastax	Ashmeadiella xenomastax	Michener, 1939
Megachilidae	Atoposmia	copelandica	Atoposmia copelandica albomarginata	(Cockerell, 1935)
Megachilidae	Coelioxys	octodentata	Coelioxys octodentata	Say, 1824
Megachilidae	Dioxys	productus	Dioxys productus cismontanicus	Hurd, 1958
Megachilidae	Megachile	angelarum	Megachile angelarum	Cockerell, 1902
Megachilidae	Megachile	apicalis	Megachile apicalis	Spinola, 1808
Megachilidae	Megachile	brevis	Megachile brevis	Say, 1837
Megachilidae	Megachile	coquilletti	Megachile coquilletti	Cockerell, 1915
Megachilidae	Megachile	fidelis	Megachile fidelis	Cresson, 1878
Megachilidae	Megachile	montivaga	Megachile montivaga	Cresson, 1878
Megachilidae	Megachile	onobrychidis	Megachile onobrychidis	Cockerell, 1908
Megachilidae	Megachile	rotundata	Megachile rotundata	(Fabricius, 1793)
Megachilidae	Osmia	albolateralis	Osmia albolateralis	Cockerell,1906
Megachilidae	Osmia	austromaritima	Osmia austromaritima	Michener, 1936
Megachilidae	Osmia	bruneri	Osmia bruneri	Cockerell, 1897
Megachilidae	Osmia	californica	Osmia californica	Cresson, 1864
Megachilidae	Osmia	calla	Osmia calla	Cockerell, 1897
Megachilidae	Osmia	clarescens	Osmia clarescens	Cockerell, 1911
Megachilidae	Osmia	coloradensis	Osmia coloradensis	Cresson, 1878
Megachilidae	Osmia	gabrielis	Osmia gabrielis	Cockerell, 1910
Megachilidae	Osmia	gaudiosa	Osmia gaudiosa	Cockerell, 1907
Megachilidae	Osmia	kincaidii	Osmia kincaidii	Cockerell, 1897
Megachilidae	Osmia	laeta	Osmia laeta	Sandhouse, 1924
Megachilidae	Osmia	nemoris	Osmia nemoris	Sandhouse, 1924
Megachilidae	Osmia	tristella	Osmia tristella	Cockerell, 1897
Megachilidae	Protosmia	rubifloris	Protosmia rubifloris	(Cockerell, 1898)
Megachilidae	Stelis		Stelis	Panzer, 1806

