genera,species,family,total_av,av_lower_mm,av_upper_mm,BYB_lower_mm,BYB_upper_mm,BEU_lower_mm,BEU_upper_mm,BW_lower_mm,BW_upper_mm,BHL_lower_mm,BHL_upper_mm
Agapanthinus,callophila,Apidae,10.715,9.58,11.85,10.16,12.7,,,9,11,,
Agapostemon,,Halictidae,10.47,7.783333333,13.15666667,6.35,13.97,10,11,7,14.5,,
Ancylandrena,,Andrenidae,11.465,7.81,15.12,7.62,15.24,,,8,15,,
Ancyloscelis,,Apidae,8.445,6.81,10.08,7.62,10.16,,,6,10,,
Andrena,,Andrenidae,10.87333333,6.656666667,15.09,7.62,16.51,6,15,,,6.35,13.76
Anthemurgus,passiflorae,Andrenidae,7.31,6.81,7.81,7.62,7.62,,,6,8,,
Anthidiellum,,Megachilidae,7.495,5.603333333,9.386666667,3.81,10.16,8,8,5,10,,
Anthidium,,Megachilidae,12.32333333,7.873333333,16.77333333,7.62,20.32,10,11,6,19,,
Anthodioctes,,Megachilidae,7.5,4.5,10.5,,,,,4.5,10.5,,
Anthophora,,Apidae,14.82333333,10.05333333,19.59333333,10.16,17.78,11,17,9,24,,
Anthophorula,,Apidae,5.165,2.52,7.81,2.54,7.62,,,2.5,8,,
Apis,mellifera,Apidae,14.35,11.08,17.62,10.16,15.24,12,20,,,,
Ashmeadiella,,Megachilidae,6.315,4.346666667,8.283333333,2.54,6.35,7,9,3.5,9.5,,
Atoposmia,,Megachilidae,7.685,5.29,10.08,5.08,10.16,,,5.5,10,,
Augochlora,,Halictidae,7.45,5.603333333,9.296666667,3.81,8.89,8,8,5,11,,
Augochlorella,,Halictidae,6.623333334,4.436666667,8.81,3.81,11.43,5,7,4.5,8,,
Augochloropsis,,Halictidae,8.918333332,5.603333333,12.23333333,3.81,12.7,8,11,5,13,,
Aztecanthidium,,Megachilidae,16,11,21,,,,,11,21,,
Bombus,,Apidae,16.59333333,8.386666667,24.8,10.16,25.4,6,27,9,22,,
Brachymelecta,,Apidae,8.31,7.04,9.58,5.08,10.16,,,9,9,,
Brachynomada,,Apidae,6.25,3.5,9,,,,,3.5,9,,
Caenaugochlora,,Halictidae,10.5,7,14,,,,,7,14,,
