"","x"
"1","Andrena angustitarsata"
"2","Andrena anisochlora"
"3","Andrena chlorura"
"4","Andrena gnaphalii"
"5","Andrena hypoleuca"
"6","Andrena macrocephala"
"7","Andrena pallidifovea"
"8","Andrena piperi"
"9","Andrena sola"
"10","Andrena subaustralis"
"11","Andrena submoesta"
"12","Andrena subtilis"
"13","Andrena vandykei"
"14","Calliopsis"
"15","Heterosarus californicus"
"16","Panurginus armaticeps"
"17","Panurginus melanocephalus"
"18","Perdita layiae"
"19","Eucera amsinckiae"
"20","Exomalopsis cerei"
"21","Melissodes lustrus"
"22","Nomada edwardsii"
"23","Nomada formula"
"24","Nomada hesperia"
"25","Nomada semisuavis"
"26","Nomada suavis"
"27","Halictus harmonius"
"28","Halictus seladonius"
"29","Lasioglossum argemonis"
"30","Lasioglossum avalonense"
"31","Lasioglossum cabrilli"
"32","Lasioglossum californiae"
"33","Lasioglossum diversopunctatum"
"34","Lasioglossum hammondi"
"35","Lasioglossum hyalinum"
"36","Lasioglossum kincaidii"
"37","Lasioglossum mellipes"
"38","Lasioglossum miguelense"
"39","Lasioglossum perichlarus"
"40","Lasioglossum punctatoventre"
"41","Ashmeadiella chumashae"
"42","Atoposmia copelandica"
"43","Megachile onobrychidis"
"44","Osmia austromaritima"
"45","Osmia californica"
"46","Osmia clarescens"
"47","Osmia tristella"
