"","original_sourceCitation","inst.code","new_column"
"1","University of California Santa Barbara Invertebrate Zoology Collection","UCSBIZC","University of California Santa Barbara Invertebrate Zoology Collection"
"2","University of California Santa Barbara Invertebrate Zoology Collection","UCSBIZC","University of California Santa Barbara Invertebrate Zoology Collection"
"3","University of California Santa Barbara Invertebrate Zoology Collection","UCSBIZC","University of California Santa Barbara Invertebrate Zoology Collection"
"4","University of California Santa Barbara Invertebrate Zoology Collection","UCSBIZC","University of California Santa Barbara Invertebrate Zoology Collection"
"5","Symbiota Collections of Arthropods Network (SCAN)","63218","63218"
"6","University of California Santa Barbara Invertebrate Zoology Collection","UCSBIZC","University of California Santa Barbara Invertebrate Zoology Collection"
"7","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"8","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"9","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"10","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"11","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"12","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"13","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"14","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
