"","x"
"1","Symbiota Collections of Arthropods Network (SCAN)"
"2","Seltmann, Katja C. 2020. Biotic species interactions about bees (Anthophila) manually extracted from literature."
"3","National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05."
"4","Global Web Database (http://globalwebdb.com): an online collection of food webs. Accessed via https://www.globalwebdb.com/Service/DownloadArchive on 2017-10-12."
"5","Digital Bee Collections Network, 2014 (and updates). Version: 2015-03-18. National Science Foundation grant DBI 0956388; PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 08 Mar 2016. National Science Foundation grant DBI#0316495; Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 08 Mar 2016. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115"
"6","Purdue Entomological Research Collection"
"7","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining."
"8","University of California Santa Barbara Invertebrate Zoology Collection"
"9","California Academy of Sciences Entomology"
"10","https://mangal.io - the ecological interaction database."
