"","genus_species","match","grep"
"1","Blechum pyramidatum",0,0
"2","Elytraria imbricata",0,0
"4","Acer macrophyllum",0,0
"5","Phaulothamnus spinescens",0,0
"6","Sambucus mexicana",0,0
"7","Sambucus nigra",1,1
"8","Agave americana",0,0
"9","Yucca",0,1
"10","Carpobrotus chilensis",0,0
"11","Carpobrotus edulis",1,1
"12","Mesembryanthemum crystallinum",0,0
"13","Mesembryanthemum nodiflorum",0,0
"15","Sesuvium portulacastrum",0,0
"16","Tetragonia tetragonioides",0,0
"18","Trianthema portulacastrum",0,0
"19","Allium",0,1
"20","Allium praecox",0,0
"21","Alternanthera",0,0
"22","Alternanthera echinocephala",0,0
"25","Amaranthus albus",0,0
"27","Amaranthus blitoides",0,0
"29","Amaranthus deflexus",0,0
"31","Amaranthus gracilis",0,0
"33","Amaranthus lividus",0,0
"34","Amaranthus powellii",0,0
"36","Amaranthus spinosus",1,1
"39","Arthrocnemum subterminale",0,0
"40","Atriplex",0,1
"41","Atriplex argentea",0,0
"42","Atriplex argentea",0,0
"43","Atriplex californica",0,0
"44","Atriplex hastata",0,0
"45","Atriplex lentiformis",1,1
"46","Atriplex lentiformis",1,1
"47","Atriplex leucophylla",0,0
"48","Atriplex patula",0,0
"49","Atriplex prostrata",0,0
"50","Atriplex semibaccata",0,0
"51","Atriplex subspicata",0,0
"52","Atriplex triangularis",0,0
"53","Atriplex watsonii",0,0
"54","Beta vulgaris",0,0
"56","Chenopodium",0,1
"57","Chenopodium album",1,1
"58","Chenopodium ambrosioides",0,0
"60","Chenopodium berlandieri",0,0
"61","Chenopodium berlandieri",0,0
"62","Chenopodium californicum",0,0
"63","Chenopodium murale",0,0
"65","Extriplex californica",0,0
"67","Iresine angustifolia",0,0
"68","Monolepis nuttalliana",0,0
"70","Salicornia",0,0
"71","Salicornia pacifica",0,0
"72","Salicornia subterminalis",0,0
"73","Salicornia virginica",0,0
"74","Salsola",0,0
"75","Salsola australis",0,0
"76","Salsola tragus",0,0
"77","Suaeda californica",0,0
"78","Suaeda californica",0,0
"79","Suaeda nigra",0,0
"80","Suaeda taxifolia",0,0
"81","Allium",0,1
"82","Allium lacunosum",0,0
"83","Allium lacunosum",0,0
"84","Allium praecox",0,0
"85","Bloomeria crocea",0,0
"86","Bloomeria crocea",0,0
"87","Ipheion uniflorum",0,0
"88","Narcissus tazetta",0,0
"89","Rhus",0,1
"90","Rhus integrifolia",0,0
"93","Rhus ovata",0,0
"95","Schinus molle",0,0
"96","Toxicodendron",0,1
"97","Toxicodendron diversilobum",1,1
"98","Apiastrum",0,0
"99","Apiastrum angustifolium",0,0
"100","Apium graveolens",0,0
"101","Berula erecta",0,0
"102","Berula incisa",0,0
"103","Bowlesia",0,0
"104","Bowlesia incana",0,0
"105","Caucalis",0,0
"106","Caucalis microcarpa",0,0
"107","Conium maculatum",0,0
"108","Daucus",0,1
"109","Daucus pusillus",0,0
"110","Foeniculum vulgare",1,1
"111","Hydrocotyle umbellata",0,0
"112","Lomatium",0,1
"113","Lomatium caruifolium",0,0
"114","Lomatium caruifolium",0,0
"115","Lomatium utriculatum",1,1
"116","Lomatium vaginatum",0,0
"117","Petroselinum crispum",0,0
"118","Sanicula",0,1
"119","Sanicula arguta",0,0
"121","Sanicula hoffmannii",0,0
"122","Torilis arvensis",1,1
"123","Torilis nodosa",0,0
"124","Yabea microcarpa",0,0
"125","Araujia sericifera",0,0
"126","Asclepias fascicularis",1,1
"127","Asclepias subulata",0,0
"129","Vallesia glabra",0,0
"130","Vinca",0,0
"131","Vinca major",0,0
"132","Hedera canariensis",0,0
"133","Araucaria excelsa",0,0
