"","x"
"1",""
"2","Abrus precatorius"
"3","Abutilon theophrasti"
"4","Acacia farnesiana"
"5","Acamptopoeum argentinum"
"6","Acamptopoeum submetallicum"
"7","Acamptopoeum vagans"
"8","Acanthus mollis"
"9","Acer negundo"
"10","Acer saccharum"
"11","Achillea millefolium"
"12","Acmispon americanus"
"13","Actaea pachypoda"
"14","Aesculus hippocastanum"
"15","Aetheorhiza bulbosa"
"16","Afranthidium abdominale"
"17","Afranthidium biangulatum"
"18","Afranthidium braunsi"
"19","Afranthidium capicola"
"20","Afranthidium concolor"
"21","Afranthidium folliculosum"
"22","Afranthidium guillarmodi"
"23","Afranthidium hamaticauda"
"24","Afranthidium haplogastrum"
"25","Afranthidium jocosum"
"26","Afranthidium junodi"
"27","Afranthidium karooense"
"28","Afranthidium matjesfonteinense"
"29","Afranthidium minutulum"
"30","Afranthidium nitidorubrum"
"31","Afranthidium reicherti"
"32","Afranthidium repetitum"
"33","Afranthidium sjoestedti"
"34","Afranthidium tergoangulatum"
"35","Afroheriades dolichocephalus"
"36","Afroheriades geminus"
"37","Afroheriades larvatus"
"38","Afroheriades primus"
"39","Afroheriades sp. CJP-2008"
"40","Agalinis auriculata"
"41","Agalinis filifolia"
"42","Agalinis georgiana"
"43","Agalinis purpurea"
"44","Agalinis tenuifolia"
"45","Agapostemon angelicus"
"46","Agapostemon coloradinus"
"47","Agapostemon leunculus"
"48","Agapostemon melliventris"
"49","Agapostemon nasutus"
"50","Agapostemon radiatus"
"51","Agapostemon sericeus"
"52","Agapostemon splendens"
"53","Agapostemon texanus"
"54","Agapostemon tyleri"
"55","Agapostemon virescens"
"56","Agapostemon viridulus"
"57","Agastache foeniculum"
"58","Agastache nepetoides"
"59","Agastache scrophulariifolia"
"60","Agave angustifolia"
"61","Ageratina altissima"
"62","Ageratum maritimum"
"63","Agoseris glauca"
"64","Ailanthus altissima"
"65","Albizia julibrissin"
"66","Alisma plantago-aquatica"
"67","Alliaria petiolata"
"68","Allium canadense"
"69","Allium cernuum"
"70","Allium tricoccum"
"71","Allium triquetrum"
"72","Allodapula dichroa"
"73","Allodapula monticola"
"74","Allodapula variegata"
"75","Alloscirtetica antarctica"
"76","Alloscirtetica gayi"
"77","Alloscirtetica rufitarsis"
"78","Alocandrena porteri"
"79","Amaranthus spinosus"
"80","Ambrosia cordifolia"
"81","Ambrosia trifida"
"82","Amegilla garrula"
"83","Amelanchier arborea"
"84","Amelanchier laevis"
"85","Ammannia coccinea"
"86","Ammobates oraniensis"
"87","Amorpha canescens"
"88","Amorpha fruticosa"
"89","Amphiachyris dracunculoides"
"90","Amphicarpaea bracteata"
"91","Amsonia tabernaemontana"
"92","Anacamptis morio"
"93","Ancylandrena atoposoma"
"94","Ancylandrena larreae"
"95","Ancylandrena rozeni"
"96","Ancylandrena timberlakei"
"97","Ancyloscelis apiformis"
"98","Andrena accepta"
"99","Andrena aliciae"
"100","Andrena alleghaniensis"
"101","Andrena andrenoides"
"102","Andrena anograe"
"103","Andrena apacheorum"
"104","Andrena apicata"
"105","Andrena arabis"
"106","Andrena argemonis"
"107","Andrena argentata"
"108","Andrena asteris"
"109","Andrena asteroides"
"110","Andrena astragali"
"111","Andrena auricoma"
"112","Andrena baeriae"
"113","Andrena banksi"
"114","Andrena barbara"
"115","Andrena barbilabris"
"116","Andrena beameri"
"117","Andrena bicolor"
"118","Andrena bimaculata"
"119","Andrena bisalicis"
"120","Andrena braccata"
"121","Andrena bradleyi"
"122","Andrena bruneri"
"123","Andrena bucculenta"
"124","Andrena caerulea"
"125","Andrena caliginosa"
"126","Andrena canadensis"
"127","Andrena candida"
"128","Andrena carlini"
"129","Andrena carolina"
"130","Andrena ceanothi"
"131","Andrena cerasifolii"
"132","Andrena chalybaea"
"133","Andrena cheyennorum"
"134","Andrena chlorogaster"
"135","Andrena chlorosoma"
"136","Andrena chromotricha"
"137","Andrena cineraria"
"138","Andrena clarkella"
"139","Andrena commoda"
"140","Andrena crataegi"
"141","Andrena crawfordi"
"142","Andrena cressonii"
"143","Andrena cruciferarum"
"144","Andrena denticulata"
"145","Andrena dimorpha"
"146","Andrena distans"
"147","Andrena duboisi"
"148","Andrena dunningi"
"149","Andrena duplicata"
"150","Andrena erigeniae"
"151","Andrena erythrogaster"
"152","Andrena erythronii"
"153","Andrena fenningeri"
"154","Andrena ferox"
"155","Andrena flavipes"
"156","Andrena florea"
"157","Andrena forbesii"
"158","Andrena fragilis"
"159","Andrena frigida"
"160","Andrena fucata"
"161","Andrena fulgida"
"162","Andrena fulva"
"163","Andrena fulvago"
"164","Andrena fulvipennis"
"165","Andrena fuscipes"
"166","Andrena gardineri"
"167","Andrena geranii"
"168","Andrena haemorrhoa"
"169","Andrena hallii"
"170","Andrena hattorfiana"
"171","Andrena helianthi"
"172","Andrena helianthiformis"
"173","Andrena heraclei"
"174","Andrena hippotes"
"175","Andrena hirticincta"
"176","Andrena humilis"
"177","Andrena ilicis"
"178","Andrena illinoiensis"
"179","Andrena imitatrix"
"180","Andrena integra"
"181","Andrena isocomae"
"182","Andrena kaibabensis"
"183","Andrena krigiana"
"184","Andrena kristina"
"185","Andrena labiata"
"186","Andrena lamelliterga"
"187","Andrena lapponica"
"188","Andrena lativentris"
"189","Andrena lauracea"
"190","Andrena lawrencei"
"191","Andrena linsleyana"
"192","Andrena macoupinensis"
"193","Andrena mandibularis"
"194","Andrena marginata"
"195","Andrena mariae"
"196","Andrena medionitens"
"197","Andrena melanochroa"
"198","Andrena mendica"
"199","Andrena microchlora"
"200","Andrena milwaukeensis"
"201","Andrena minutula"
"202","Andrena miranda"
"203","Andrena miserabilis"
"204","Andrena montrosensis"
"205","Andrena morrisonella"
"206","Andrena nasonii"
"207","Andrena nida"
"208","Andrena nigrae"
"209","Andrena nigricula"
"210","Andrena nigrihirta"
"211","Andrena nigroaenea"
"212","Andrena nigrocaerulea"
"213","Andrena nigroclypeata"
"214","Andrena nitida"
"215","Andrena nitidiuscula"
"216","Andrena nivalis"
"217","Andrena niveata"
"218","Andrena nothoscordi"
"219","Andrena nubecula"
"220","Andrena nuda"
"221","Andrena oenotherae"
"222","Andrena pallidiscopa"
"223","Andrena pandellei"
"224","Andrena parnassiae"
"225","Andrena peckhami"
"226","Andrena pecosana"
"227","Andrena pensilis"
"228","Andrena perimelas"
"229","Andrena perplexa"
"230","Andrena persimulata"
"231","Andrena personata"
"232","Andrena pertristis"
"233","Andrena phaceliae"
"234","Andrena placata"
"235","Andrena plana"
"236","Andrena platyparia"
"237","Andrena polemonii"
"238","Andrena polita"
"239","Andrena praecox"
"240","Andrena principalis"
"241","Andrena proxima"
"242","Andrena pruinosa"
"243","Andrena pruni"
"244","Andrena prunorum"
"245","Andrena pulverea"
"246","Andrena quintilis"
"247","Andrena ramaleyi"
"248","Andrena regularis"
"249","Andrena rehni"
"250","Andrena robertsonii"
"251","Andrena rosae"
"252","Andrena rubi"
"253","Andrena rudbeckiae"
"254","Andrena ruficrus"
"255","Andrena rufosignata"
"256","Andrena rugosa"
"257","Andrena salictaria"
"258","Andrena sayi"
"259","Andrena sieverti"
"260","Andrena sigmundi"
"261","Andrena simplex"
"262","Andrena sphaeralceae"
"263","Andrena spiraeana"
"264","Andrena suavis"
"265","Andrena subchalybea"
"266","Andrena tarsata"
"267","Andrena tegularis"
"268","Andrena thaspii"
"269","Andrena thoracica"
"270","Andrena torulosa"
"271","Andrena transnigra"
"272","Andrena tridens"
"273","Andrena utahensis"
"274","Andrena vaga"
"275","Andrena vicina"
"276","Andrena vicinoides"
"277","Andrena violae"
"278","Andrena virginiana"
"279","Andrena w-scripta"
"280","Andrena washingtoni"
"281","Andrena wellesleyana"
"282","Andrena wheeleri"
"283","Andrena wilkella"
"284","Andrena wilmattae"
"285","Andrena zionensis"
"286","Andrena ziziae"
"287","Andrena ziziaeformis"
"288","Andromeda polifolia"
"289","Anemone acutiloba"
"290","Anemone americana"
"291","Anemone patens"
"292","Anemone virginiana"
"293","Angelica atropurpurea"
"294","Anisacanthus thurberi"
"295","Antennaria neglecta"
"296","Antennaria plantaginifolia"
"297","Anthemis cotula"
"298","Anthemurgus passiflorae"
"299","Anthidiellum notatum"
"300","Anthidium adelphum"
"301","Anthidium atripes"
"302","Anthidium chilense"
"303","Anthidium cingulatum"
"304","Anthidium clypeodentatum"
"305","Anthidium cochimi"
"306","Anthidium cockerelli"
"307","Anthidium collectum"
"308","Anthidium dammersi"
"309","Anthidium danieli"
"310","Anthidium decaspilum"
"311","Anthidium duomarginatum"
"312","Anthidium edwardsii"
"313","Anthidium emarginatum"
"314","Anthidium formosum"
"315","Anthidium friesei"
"316","Anthidium hallinani"
"317","Anthidium illustre"
"318","Anthidium jocosum"
"319","Anthidium labergei"
"320","Anthidium maculifrons"
"321","Anthidium maculosum"
"322","Anthidium macushi"
"323","Anthidium manicatum"
"324","Anthidium mapuche"
"325","Anthidium michenerorum"
"326","Anthidium mormonum"
"327","Anthidium nigerrimum"
"328","Anthidium oblongatum"
