"","sp.names"
"1",""
"2","Aaronsohnia factorovskyi"
"3","Abelmoschus esculentus"
"4","Abelmoschus manihot"
"5","Abronia angustifolia"
"6","Abronia latifolia"
"7","Abronia maritima"
"8","Abronia umbellata"
"9","Abrus precatorius"
"10","Abutilon indicum"
"11","Abutilon terminale"
"12","Abutilon theophrasti"
"13","Acacia angustissima"
"14","Acacia auriculiformis"
"15","Acacia dealbata"
"16","Acacia farnesiana"
"17","Acacia gerrardii"
"18","Acacia greggii"
"19","Acacia insulae-iacobi"
"20","Acacia karroo"
"21","Acacia longifolia"
"22","Acacia macracantha"
"23","Acacia melanoxylon"
"24","Acacia mellifera"
"25","Acacia nilotica"
"26","Acacia paolii"
"27","Acacia senegal"
"28","Acacia tortilis"
"29","Acacia verticillata"
"30","Acanthopsis spathularis"
"31","Acanthospermum hispidum"
"32","Acanthus mollis"
"33","Acanthus spinosus"
"34","Acer campestre"
"35","Acer negundo"
"36","Acer palmatum"
"37","Acer platanoides"
"38","Acer rubrum"
"39","Acer saccharinum"
"40","Acer saccharum"
"41","Acer spicatum"
"42","Achillea millefolium"
"43","Achyranthes bidentata"
"44","Achyrocline satureioides"
"45","Achyrocline satureoides"
"46","Acianthus elegans"
"47","Acmella caulirhiza"
"48","Acmella decumbens"
"49","Acmella oleracea"
"50","Acmella repens"
"51","Acmispon americanus"
"52","Acmispon brachycarpus"
"53","Acmispon glaber"
"54","Acmispon humistratus"
"55","Acmispon strigosus"
"56","Acmispon wrangelianus"
"57","Aconitum columbianum"
"58","Aconitum henryi"
"59","Aconitum napellus"
"60","Acrocomia aculeata"
"61","Acrotome inflata"
"62","Actaea racemosa"
"63","Actinidia arguta"
"64","Adelinia grande"
"65","Adenocarpus viscosus"
"66","Adenophora triphylla"
"67","Adenophyllum cancellatum"
"68","Adenostoma fasciculatum"
"69","Adesmia aconcaguensis"
"70","Adesmia brachysemeon"
"71","Adesmia capitellata"
"72","Adesmia conferta"
"73","Adesmia exilis"
"74","Adesmia glomerula"
"75","Adesmia glutinosa"
"76","Adesmia hemisphaerica"
"77","Adesmia montana"
"78","Adesmia pedicellata"
"79","Adesmia radicifolia"
"80","Adesmia retrofracta"
"81","Adolphia infesta"
"82","Aechmea paniculigera"
"83","Aegonychon purpurocaeruleum"
"84","Aegopodium podagraria"
"85","Aeonium arboreum"
"86","Aeonium cuneatum"
"87","Aerva javanica"
"88","Aeschynomene indica"
"89","Aeschynomene nodulosa"
"90","Aeschynomene pratensis"
"91","Aesculus californica"
"92","Aesculus hippocastanum"
"93","Aesculus parviflora"
"94","Aesculus pavia"
"95","Aesculus sylvatica"
"96","Aesculus turbinata"
"97","Aetheorhiza bulbosa"
"98","Agalinis auriculata"
"99","Agalinis fasciculata"
"100","Agalinis filifolia"
"101","Agalinis genistifolia"
"102","Agalinis purpurea"
"103","Agalinis tenuifolia"
"104","Agapanthus praecox"
"105","Agapostemon melliventris"
"106","Agapostemon nasutus"
"107","Agapostemon splendens"
"108","Agapostemon texanus"
"109","Agapostemon virescens"
"110","Agastache foeniculum"
"111","Agastache nepetoides"
"112","Agastache pallidiflora"
"113","Agastache rugosa"
"114","Agastache rupestris"
"115","Agastache scrophulariifolia"
"116","Agave palmeri"
"117","Agave utahensis"
"118","Ageratina adenophora"
"119","Ageratina altissima"
"120","Ageratum conyzoides"
"121","Agnorhiza reticulata"
"122","Agoseris glauca"
"123","Agoseris grandiflora"
"124","Agoseris heterophylla"
"125","Agrimonia pilosa"
"126","Ailanthus altissima"
"127","Ainsliaea acerifolia"
"128","Ajuga reptans"
"129","Alafia thouarsii"
"130","Alangium chinense"
"131","Alangium platanifolium"
"132","Albizia gummifera"
"133","Albizia julibrissin"
"134","Alcea rosea"
"135","Alcea rugosa"
"136","Alectryon ramiflorus"
"137","Aletes acaulis"
"138","Aletris farinosa"
"139","Alhagi maurorum"
"140","Aliciella hutchinsifolia"
"141","Aliciella leptomeria"
"142","Aliciella penstemonoides"
"143","Aliciella pinnatifida"
"144","Alisma plantago-aquatica"
"145","Alisma triviale"
"146","Alkanna tinctoria"
"147","Allamanda cathartica"
"148","Alliaria petiolata"
"149","Allionia incarnata"
"150","Allium acuminatum"
"151","Allium aflatunense"
"152","Allium amplectens"
"153","Allium bisceptrum"
"154","Allium callidyction"
"155","Allium canadense"
"156","Allium cepa"
"157","Allium cernuum"
"158","Allium drummondii"
"159","Allium elmendorfii"
"160","Allium karataviense"
"161","Allium neapolitanum"
"162","Allium sanbornii"
"163","Allium schoenoprasum"
"164","Allium serra"
"165","Allium sphaerocephalon"
"166","Allium thunbergii"
"167","Allium tricoccum"
"168","Allium triquetrum"
"169","Allium tuberosum"
"170","Allium tuolumnense"
"171","Allium unifolium"
"172","Alnus rhombifolia"
"173","Aloe arborescens"
"174","Aloe ferox"
"175","Aloe maculata"
"176","Aloe vera"
"177","Alonsoa unilabiata"
"178","Aloysia gratissima"
"179","Aloysia virgata"
"180","Alstonia macrophylla"
"181","Alstroemeria aurea"
"182","Alstroemeria hookeri"
"183","Alstroemeria ligtu"
"184","Alstroemeria pallida"
"185","Alstroemeria umbellata"
"186","Alstroemeria versicolor"
"187","Alternanthera ficoidea"
"188","Alternanthera sessilis"
"189","Althaea officinalis"
"190","Alyssum wulfenianum"
"191","Amaranthus hybridus"
"192","Amaranthus palmeri"
"193","Amaranthus spinosus"
"194","Amaryllis belladonna"
"195","Amblyolepis setigera"
"196","Ambrosia artemisiifolia"
"197","Ambrosia dumosa"
"198","Ambrosia salsola"
"199","Ambrosia trifida"
"200","Amelanchier arborea"
"201","Amelanchier canadensis"
"202","Amelanchier laevis"
"203","Amelanchier utahensis"
"204","Ammannia coccinea"
"205","Ammi majus"
"206","Amoebophyllum angustum"
"207","Amomyrtus luma"
"208","Amomyrtus meli"
"209","Amorpha canescens"
"210","Amorpha fruticosa"
"211","Amorpha herbacea"
"212","Ampelaster carolinianus"
"213","Ampelopsis arborea"
"214","Ampelopsis brevipedunculata"
"215","Ampelopsis heterophylla"
"216","Amphiachyris dracunculoides"
"217","Amphicarpaea bracteata"
"218","Amphorocalyx multiflorus"
"219","Amsinckia douglasiana"
"220","Amsinckia intermedia"
"221","Amsinckia lunaris"
"222","Amsinckia menziesii"
"223","Amsinckia spectabilis"
"224","Amsonia tabernaemontana"
"225","Anacardium occidentale"
"226","Anacyclus radiatus"
"227","Anagallis arvensis"
"228","Anaphalis margaritacea"
"229","Anarrhinum bellidifolium"
"230","Anarthrophyllum cumingii"
"231","Anarthrophyllum gayanum"
"232","Anastrabe integerrima"
"233","Anchusa azurea"
"234","Anchusa capensis"
"235","Andrena accepta"
"236","Andrena aliciae"
"237","Andrena alleghaniensis"
"238","Andrena andrenoides"
"239","Andrena arabis"
"240","Andrena argentata"
"241","Andrena asteris"
"242","Andrena asteroides"
"243","Andrena auricoma"
"244","Andrena barbilabris"
"245","Andrena beameri"
"246","Andrena bisalicis"
