"","resolvedPlantNames","genus","resolvedBeeNames","sourceTaxonFamilyName","targetTaxonOrderName","targetTaxonFamilyName","plant_order","n"
"1","Abronia maritima","Abronia","Bombus californicus","Apidae","Caryophyllales","Nyctaginaceae","Caryophyllales",3
"2","Abronia maritima","Abronia","Habropoda miserabilis","Apidae","Caryophyllales","Nyctaginaceae","Caryophyllales",7
"3","Acer macrophyllum","Acer","Bombus melanopygus","Apidae","Sapindales","Sapindaceae","Sapindales",3
"4","Acer macrophyllum","Acer","Bombus vosnesenskii","Apidae","Sapindales","Sapindaceae","Sapindales",3
"5","Achillea millefolium","Achillea","Agapostemon texanus","Halictidae","Asterales","Asteraceae","Asterales",11
"6","Achillea millefolium","Achillea","Andrena prunorum","Andrenidae","Asterales","Asteraceae","Asterales",20
"7","Achillea millefolium","Achillea","Anthophora urbana","Apidae","Asterales","Asteraceae","Asterales",2
"8","Achillea millefolium","Achillea","Bombus californicus","Apidae","Asterales","Asteraceae","Asterales",3
"9","Achillea millefolium","Achillea","Bombus melanopygus","Apidae","Asterales","Asteraceae","Asterales",76
"10","Achillea millefolium","Achillea","Bombus vosnesenskii","Apidae","Asterales","Asteraceae","Asterales",9
"11","Achillea millefolium","Achillea","Ceratina acantha","Apidae","Asterales","Asteraceae","Asterales",5
"12","Achillea millefolium","Achillea","Coelioxys octodentatus","Megachilidae","Asterales","Asteraceae","Asterales",2
"13","Achillea millefolium","Achillea","Colletes hyalinus","Colletidae","Asterales","Asteraceae","Asterales",1
"14","Achillea millefolium","Achillea","Colletes slevini","Colletidae","Asterales","Asteraceae","Asterales",7
"15","Achillea millefolium","Achillea","Epeolus minimus","Apidae","Asterales","Asteraceae","Asterales",1
"16","Achillea millefolium","Achillea","Habropoda depressa","Apidae","Asterales","Asteraceae","Asterales",1
"17","Achillea millefolium","Achillea","Halictus farinosus","Halictidae","Asterales","Asteraceae","Asterales",28
"18","Achillea millefolium","Achillea","Halictus ligatus","Halictidae","Asterales","Asteraceae","Asterales",148
"19","Achillea millefolium","Achillea","Halictus rubicundus","Halictidae","Asterales","Asteraceae","Asterales",44
"20","Achillea millefolium","Achillea","Halictus tripartitus","Halictidae","Asterales","Asteraceae","Asterales",177
"21","Achillea millefolium","Achillea","Hylaeus mesillae","Colletidae","Asterales","Asteraceae","Asterales",28
"22","Achillea millefolium","Achillea","Hylaeus rudbeckiae","Colletidae","Asterales","Asteraceae","Asterales",1
"23","Achillea millefolium","Achillea","Lasioglossum albohirtum","Halictidae","Asterales","Asteraceae","Asterales",9
"24","Achillea millefolium","Achillea","Lasioglossum hyalinum","Halictidae","Asterales","Asteraceae","Asterales",2
"25","Achillea millefolium","Achillea","Lasioglossum incompletum","Halictidae","Asterales","Asteraceae","Asterales",34
"26","Achillea millefolium","Achillea","Lasioglossum mellipes","Halictidae","Asterales","Asteraceae","Asterales",1
"27","Achillea millefolium","Achillea","Lasioglossum nevadense","Halictidae","Asterales","Asteraceae","Asterales",4
"28","Achillea millefolium","Achillea","Lasioglossum perichlarus","Halictidae","Asterales","Asteraceae","Asterales",9
"29","Achillea millefolium","Achillea","Lasioglossum punctatoventre","Halictidae","Asterales","Asteraceae","Asterales",1
"30","Achillea millefolium","Achillea","Lasioglossum tegulare","Halictidae","Asterales","Asteraceae","Asterales",1
"31","Achillea millefolium","Achillea","Megachile brevis","Megachilidae","Asterales","Asteraceae","Asterales",2
"32","Achillea millefolium","Achillea","Megachile fidelis","Megachilidae","Asterales","Asteraceae","Asterales",8
"33","Achillea millefolium","Achillea","Megachile montivaga","Megachilidae","Asterales","Asteraceae","Asterales",1
"34","Achillea millefolium","Achillea","Megachile rotundata","Megachilidae","Asterales","Asteraceae","Asterales",3
"35","Achillea millefolium","Achillea","Osmia coloradensis","Megachilidae","Asterales","Asteraceae","Asterales",5
"36","Acmispon micranthus","Acmispon","Megachile angelarum","Megachilidae","Fabales","Fabaceae","Fabales",4
"37","Acmispon wrangelianus","Acmispon","Protosmia rubifloris","Megachilidae","Fabales","Fabaceae","Fabales",3
"38","Acourtia microcephala","Acourtia","Melissodes lupinus","Apidae","Asterales","Asteraceae","Asterales",1
"39","Amsinckia intermedia","Amsinckia","Anthidium illustre","Megachilidae","Boraginales","Boraginaceae","Boraginales",1
"40","Amsinckia intermedia","Amsinckia","Anthophora californica","Apidae","Boraginales","Boraginaceae","Boraginales",1
"41","Amsinckia intermedia","Amsinckia","Anthophora edwardsii","Apidae","Boraginales","Boraginaceae","Boraginales",2
"42","Anemopsis californica","Anemopsis","Anthidium maculosum","Megachilidae","Piperales","Saururaceae","Piperales",1
"43","Anthemis cotula","Anthemis","Halictus ligatus","Halictidae","Asterales","Asteraceae","Asterales",2
"44","Anthemis cotula","Anthemis","Hylaeus mesillae","Colletidae","Asterales","Asteraceae","Asterales",2
"45","Antirrhinum thompsonii","Antirrhinum","Anthidium illustre","Megachilidae","Lamiales","Plantaginaceae","Lamiales",4
"46","Antirrhinum thompsonii","Antirrhinum","Bombus vosnesenskii","Apidae","Lamiales","Plantaginaceae","Lamiales",2
"47","Arbutus menziesii","Arbutus","Andrena perimelas","Andrenidae","Ericales","Ericaceae","Ericales",1
"48","Arbutus menziesii","Arbutus","Anthophora edwardsii","Apidae","Ericales","Ericaceae","Ericales",1
"49","Arbutus menziesii","Arbutus","Bombus californicus","Apidae","Ericales","Ericaceae","Ericales",1
"50","Arbutus menziesii","Arbutus","Bombus melanopygus","Apidae","Ericales","Ericaceae","Ericales",22
"51","Arbutus menziesii","Arbutus","Bombus vosnesenskii","Apidae","Ericales","Ericaceae","Ericales",23
"52","Arbutus menziesii","Arbutus","Ceratina acantha","Apidae","Ericales","Ericaceae","Ericales",1
"53","Arbutus menziesii","Arbutus","Halictus rubicundus","Halictidae","Ericales","Ericaceae","Ericales",1
"54","Arbutus menziesii","Arbutus","Hylaeus mesillae","Colletidae","Ericales","Ericaceae","Ericales",1
"55","Arbutus menziesii","Arbutus","Lasioglossum nevadense","Halictidae","Ericales","Ericaceae","Ericales",1
"56","Arbutus menziesii","Arbutus","Melecta separata","Apidae","Ericales","Ericaceae","Ericales",2
"57","Arbutus menziesii","Arbutus","Protosmia rubifloris","Megachilidae","Ericales","Ericaceae","Ericales",3
"58","Asclepias fascicularis","Asclepias","Halictus ligatus","Halictidae","Gentianales","Apocynaceae","Gentianales",4
"59","Asclepias fascicularis","Asclepias","Halictus tripartitus","Halictidae","Gentianales","Apocynaceae","Gentianales",2
"60","Asclepias fascicularis","Asclepias","Hylaeus mesillae","Colletidae","Gentianales","Apocynaceae","Gentianales",17
"61","Asclepias fascicularis","Asclepias","Lasioglossum incompletum","Halictidae","Gentianales","Apocynaceae","Gentianales",26
"62","Asclepias fascicularis","Asclepias","Lasioglossum tegulare","Halictidae","Gentianales","Apocynaceae","Gentianales",2
"63","Asclepias fascicularis","Asclepias","Megachile coquilletti","Megachilidae","Gentianales","Apocynaceae","Gentianales",1
"64","Asclepias fascicularis","Asclepias","Megachile onobrychidis","Megachilidae","Gentianales","Apocynaceae","Gentianales",2
"65","Astragalus miguelensis","Astragalus","Anthophora edwardsii","Apidae","Fabales","Fabaceae","Fabales",1
"66","Atriplex lentiformis","Atriplex","Halictus tripartitus","Halictidae","Caryophyllales","Amaranthaceae","Caryophyllales",2
"67","Atriplex lentiformis","Atriplex","Lasioglossum diversopunctatum","Halictidae","Caryophyllales","Amaranthaceae","Caryophyllales",9
"68","Atriplex lentiformis","Atriplex","Lasioglossum incompletum","Halictidae","Caryophyllales","Amaranthaceae","Caryophyllales",23
"69","Atriplex lentiformis","Atriplex","Lasioglossum tegulare","Halictidae","Caryophyllales","Amaranthaceae","Caryophyllales",1
"70","Brassica nigra","Brassica","Bombus californicus","Apidae","Brassicales","Brassicaceae","Brassicales",3
"71","Brassica nigra","Brassica","Halictus farinosus","Halictidae","Brassicales","Brassicaceae","Brassicales",1
"72","Brassica nigra","Brassica","Halictus tripartitus","Halictidae","Brassicales","Brassicaceae","Brassicales",1
"73","Brassica nigra","Brassica","Hylaeus mesillae","Colletidae","Brassicales","Brassicaceae","Brassicales",1
"74","Brassica nigra","Brassica","Melissodes lupinus","Apidae","Brassicales","Brassicaceae","Brassicales",1
"75","Brassica rapa","Brassica","Andrena candida","Andrenidae","Brassicales","Brassicaceae","Brassicales",3
"76","Brassica rapa","Brassica","Bombus californicus","Apidae","Brassicales","Brassicaceae","Brassicales",1
"77","Brassica rapa","Brassica","Halictus rubicundus","Halictidae","Brassicales","Brassicaceae","Brassicales",2
"78","Brassica rapa","Brassica","Megachile rotundata","Megachilidae","Brassicales","Brassicaceae","Brassicales",2
"79","Cakile maritima","Cakile","Agapostemon texanus","Halictidae","Brassicales","Brassicaceae","Brassicales",5
