"","source_taxon_name","Eardley C, Coetzer W. 2011. Catalogue of Afrotropical Bees.","Ed Baker; Ian J. Kitching; George W. Beccaloni; Amoret Whitaker et al. (2016). Dataset: NHM Interactions Bank. Natural History Museum Data Portal (data.nhm.ac.uk). https://doi.org/10.5519/0060767","Food Webs and Species Interactions in the Biodiversity of UK and Ireland (Online). 2016. Data provided by Malcolm Storey. Also available from http://bioinfo.org.uk.","Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756","Sarah E Miller. 5/28/2015. Arnaud, Paul Henri. A Host-parasite Catalog of North American Tachinidae (Diptera). Washington, D.C.: U.S. Dept. of Agriculture, Science and Education Administration, 1978.","Seltmann, Katja C. 2020. Biotic species interactions about bees (Anthophila) manually extracted from literature.","Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016).","Sarah E Miller. 12/13/2016. Species associations manually extracted from Onstad, D.W. EDWIP: Ecological Database of the World's Insect Pathogens. Champaign, Illinois: Illinois Natural History Survey, [23/11/2016]. http://insectweb.inhs.uiuc.edu/Pathogens/EDWIP.","Sarah E Miller. 9/19/2016. Species associations extracted from Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","http://invertebrates.si.edu/parasites.htm","https://vertnet.org","Species Interactions of Australia Database (SIAD): Helping us to understand species interactions in Australia and beyond. http://www.discoverlife.org/siad/ .","Urban M, Cuzick A, Rutherford K, Irvine A, Pedro H, Pant R, Sadanadan V, Khamari L, Billal S, Mohanty S, Hammond-Kosack KE. PHI-base: a new interface and further additions for the multi-species pathogen-host interactions database. Nucleic Acids Res. 2017 Jan 4;45(D1):D604-D610. doi: 10.1093/nar/gkw1089. Epub 2016 Dec 3. PMID:27915230"
"1","Allodape",1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Allodapula",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ammobatoides braunsi",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ancyloscelis",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Anthophora",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Anthophora abrupta",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Anthophora bimaculata",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Anthophora bomboides",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Anthophora furcata",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Anthophora linsleyi",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Anthophora marginata",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Anthophora occidentalis",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Anthophora retusa",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Apidae",NA,3,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Apis",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"16","Apis cerana",NA,1,3,NA,NA,NA,1,2,17,NA,NA,NA,NA,NA
"17","Apis cerana cerana",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"18","Apis florea",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"19","Apis laboriosa",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"20","Apis mellifera",NA,10,50,NA,NA,NA,19,37,17,3,3,1,2,21
"21","Bombus",NA,12,9,NA,2,NA,NA,1,8,NA,1,NA,NA,NA
"22","Bombus affinis",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"23","Bombus atratus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bombus bifarius",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bombus bimaculatus",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"26","Bombus californicus",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"27","Bombus cryptarum",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"28","Bombus fervidus",NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"29","Bombus flavifrons",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"30","Bombus griseocollis",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"31","Bombus hortorum",NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"32","Bombus humilis",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"33","Bombus hypnorum",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Bombus hypocrita",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"35","Bombus ignitus",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"36","Bombus impatiens",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"37","Bombus lapidarius",NA,5,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"38","Bombus lucorum",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"39","Bombus mesomelas",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Bombus morrisoni",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bombus muscorum",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Bombus occidentalis",NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA
"43","Bombus pascuorum",NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"44","Bombus perplexus",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"45","Bombus pratorum",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Bombus ruderarius",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Bombus ruderatus",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Bombus sylvarum",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"49","Bombus terrestris",NA,2,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA
"50","Bombus terricola",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"51","Bombus vagans",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"52","Braunsapis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Braunsapis bouyssoui",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Braunsapis leptozonia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Braunsapis natalica",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Braunsapis rolini",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Braunsapis simplicipes",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Centris",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Centris bicornuta",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Centris nitida",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Centris vittata",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Ceratina",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Ceratina calcarata",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Ceratina callosa",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Ceratina dupla",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Ceratina ignara",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Ceratina nyassensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Ctenoplectra chalybea",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Diadasina distincta",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Epeolus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Eucera longicornis",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Eucondylops konowi",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Eucondylops reducta",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Eufriesea nigrescens",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Euglossa",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Euglossa annectens",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Euglossa cordata",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"78","Euglossa cybelia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Euglossa ignita",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Eulaema meriana",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Habropoda pallida",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"82","Macrogalea mombasae",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Melissodes",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Melissodes druriellus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"85","Melitoma taurea",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Melitta",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Mesoplia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Nasutapis straussorum",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Pasites barkeri",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Phyllotoma",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Ptilothrix plumata",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Sphecodopsis capensis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Sphecodopsis fumipennis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Thyreus alfkeni",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Thyreus calceatus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Thyreus delumbatus",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Thyreus quinquefasciatus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Trigona",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Xylocopa",NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Xylocopa aestuans",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"101","Xylocopa brasilianorum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Xylocopa caerulea",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Xylocopa californica",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"104","Xylocopa fenestrata",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
