fullcode,institutionfull,institution
ANSP-ENT,Academy of Natural Sciences Entomology Collection - LepNet ,Academy of Natural Sciences Entomology Collection
ANSP-ORTH,Academy of Natural Sciences Entomology Collection – OrthopNet ,Academy of Natural Sciences Entomology Collection
ANSP-PARA,Academy of Natural Sciences Entomology Collection – ParasiteTracker ,Academy of Natural Sciences Entomology Collection
CONABIO-CAIM,"Actualización de la Colección de Artrópodos con importancia médica (CAIM), Laboratorio de Entomología, InDRE",
AMNH-IZC,American Museum of Natural History Invertebrate Zoology Collection ,American Museum of Natural History Invertebrate Zoology Collection 
AMNH,AMNH Arthropods ,American Museum of Natural History Invertebrate Zoology Collection 
CAS-ANTWEB,AntWeb ,California Academy of Sciences
CONABIO-LSPG,Apoyo para la infraestructura de la colección de artrópodos con y sin importancia médica del Laboratorio estatal de Salud Pública del estado de Guanaj ,Apoyo para la infraestructura de la colección de artrópodos con y sin importancia médica del Laboratorio estatal de Salud Pública del estado de Guanaj 
ABS-ARTHARCH,Archbold Biological Station Arthropod Collection ,Archbold Biological Station Arthropod Collection 
ASU-SIBR,Arizona State University - Social Insect Biodiversity Repository ,Arizona State University
ASU-ASUCOB,Arizona State University Charles W. O'Brien Collection ,Arizona State University
ASU-ASUHIC,Arizona State University Hasbrouck Insect Collection ,Arizona State University
ASU-ASULOB,Arizona State University Lois B. O'Brien Collection ,Arizona State University
AUMNH-ENT,Auburn University Museum of Natural History Entomology ,Auburn University Museum of Natural History Entomology 
AUGIE-ENT,Augustana College Entomology Collection ,Augustana College Entomology Collection 
MELU-AFI,Australian Freshwater Invertebrates ,Australian Freshwater Invertebrates 
THA-Bark Beetles,Bark and Ambrosia Beetles of the New World ,Bark and Ambrosia Beetles of the New World 
USDA-ARS,Bee Biology and Systematics Laboratory ,Bee Biology and Systematics Laboratory 
CORN-URBAN,Bees in the Trees Cornell Collection ,Bees in the Trees Cornell Collection 
BPBM-ENT,Bernice Pauahi Bishop Museum ,Bernice Pauahi Bishop Museum 
CONABIO-UADY,Biodiversidad de la apifauna de Yucatán ,Biodiversidad de la apifauna de Yucatán 
CONABIO-BST,"Biodiversidad de la Sierra Tarahumara. Lepidoptera: Mimallonoidea, Lasiocampoidea, Bombycoidea y Pyraloidea ","Biodiversidad de la Sierra Tarahumara. Lepidoptera: Mimallonoidea, Lasiocampoidea, Bombycoidea y Pyraloidea "
BUIC-ODO,Bishop's University Insect Collection ,Bishop's University Insect Collection 
BLM-MLFO,BLM Mother Lode Field Office: The Bees of Pine Hill Preserve ,BLM Mother Lode Field Office: The Bees of Pine Hill Preserve 
CNC-CNC,Bombus of Canada ,Bombus of Canada 
EKUY,Branson Museum of Zoology - Arthropods ,Branson Museum of Zoology - Arthropods 
BYU-BYUC,Brigham Young University Arthropod Museum ,Brigham Young University Arthropod Museum 
BISON-BugGuide,BugGuide ,BugGuide 
CFNS-BSAP,Butterflies and Skippers of Alberta Project ,Butterflies and Skippers of Alberta Project 
CSUC,C.P. Gillette Museum of Arthropod Diversity,C.P. Gillette Museum of Arthropod Diversity
CSU-CSUC,C.P. Gillette Museum of Arthropod Diversity ,C.P. Gillette Museum of Arthropod Diversity 
CASC,California Academy of Sciences,California Academy of Sciences
CAS-TYPE,California Academy of Sciences - Entomology Type Collection ,California Academy of Sciences
CAS-ENT,California Academy of Sciences Entomology ,California Academy of Sciences
CAS-ENT,California Academy of Sciences Entomology ,California Academy of Sciences
CSCA,California Department of Food and Agriculture,California Department of Food and Agriculture
CSUEB-CSUEBNHM,California State University East Bay Natural History Museum ,California State University East Bay Natural History Museum 
CMN-CMNEN,Canadian Museum of Nature Insect Collection ,Canadian Museum of Nature Insect Collection 
CNC-CNCC,Canadian National Collection ,Canadian National Collection 
CONABIO-CCE,Catálogo de insectos de la colección del Centro de Entomología ,Catálogo de insectos de la colección del Centro de Entomología 
CONABIO-CRLN,"Catálogo y recopilación de datos científicos de los lepidópteros nocturnos de México, pertenecientes a cinco familias ","Catálogo y recopilación de datos científicos de los lepidópteros nocturnos de México, pertenecientes a cinco familias "
CHAS-ENT,Chicago Academy of Sciences ,Chicago Academy of Sciences 
CU-CUAC,Clemson University Arthropod Collection ,Clemson University Arthropod Collection 
CLEV-CMNHENT,Cleveland Museum of Natural History Invertebrate Zoology Collection ,Cleveland Museum of Natural History Invertebrate Zoology Collection 
IBUNAM-HYM,CNIN/Abejas de México/Apoidea ,CNIN/Abejas de México/Apoidea 
IBUNAM-COL,CNIN/Coleoptera ,CNIN/Coleoptera 
IBUNAM-LEPS,CNIN/Lepidoptera ,CNIN/Lepidoptera 
CONABIO-CISC,Colección de insectos agrícolas del proyecto diversidad en sistemas de cultivos ,Colección de insectos agrícolas del proyecto diversidad en sistemas de cultivos 
UniSierra-UniSierra-Invertebrates,Colección de Invertebrados de la Universidad de la Sierra ,Colección de Invertebrados de la Universidad de la Sierra 
CONABIO-CPYQ,Colección de referencia de vectores de Leishmania spp (causante de Leshmaniasis cutánea localizada) de la Península de Yucatán y un estudio preliminar,Colección de referencia de vectores de Leishmania spp (causante de Leshmaniasis cutánea localizada) de la Península de Yucatán y un estudio preliminar
