code,institution
CORN-URBAN,Bees in the Trees Cornell Collection 
CONABIO-UADY,Biodiversidad de la apifauna de Yucatán 
BLM-MLFO,BLM Mother Lode Field Office: The Bees of Pine Hill Preserve 
CNC-CNC,Bombus of Canada 
CONABIO-CMZ,"Computarización de la colección de abejas (Hymenoptera: Apoidea) del Museo de Zoología Alfonso L. Herrera, de la Facultad de Ciencias de la UNAM "
CONABIO-RBTC,"Diversidad de abejas (Hymenoptera: Apoidea) de la Reserva de la Biosfera El Triunfo, Chiapas "
PSU-LUL,López-Uribe Lab Collection 
MSM-DUCL,Maine State Museum - Brianne Du Clos 
UMN-EXT,Minnesota Bee Atlas 
USGS-PWRC-US-CA-MX,Native Bee Inventory and Monitoring Lab - US-CA-MX - Bees 
USGS-PWRC,Native Bee Inventory and Monitoring Lab - World - Bees 
OSAC-BEES,Oregon Bee Atlas 
BURKLE-LAMANNA,Plant–pollinator community assembly across wildfire gradients 
EMEC-UTB-ENT,Pollinator interaction flexibility across scales affects patch colonization and occupancy 
UNM-MBA,Predicting changes in bee assemblages following state transitions 
RLMC,RL Minckley Insect and Plant Collection 
UAZC-BOMB,Survey of bumblebees in central Alberta - 2018 
UCSD-Bees,University of California San Diego - Drought and Habitat Fragmentation on Native Bee Assemblages 
Xerces-BOMB,Xerces Society - Bumble Bee Watch 
BUIC-ODO,Bishop's University Insect Collection 
CNC-CNCC,Canadian National Collection 
CIQ-ENT,Insect Collection of Quebec 
IMQC-ENT,Insectarium de Montréal 
NBP-COL,Northern Biodiversity Program Coleoptera (2010-2011)
UAZC-BOMB,Survey of bumblebees in central Alberta - 2018 
DEBU-ENT,University of Guelph Insect Collection 
CNC-CNC,Bombus of Canada 
CMN-CMNEN,Canadian Museum of Nature Insect Collection 
MMMN-MMMN,Manitoba Museum of Man and Nature 
MGU-LEMQ,"McGill University, Lyman Entomological Museum "
MCMUC-MCMUC,McMaster University Collection 
Lyman-Lyman,Orphaned Collection - Lyman Entomological Museum 
UMBC-QMOR,Ouellet-Robert Entomological Collection 
RBCM-ENT,Royal British Columbia Museum Entomology Collection 
"University of Guelph, Centre for Biodiversity-BIOUG",The Centre for Biodiversity Genomics - University of Guelph 
UASM-UASM,"University of Alberta Museums, E. H. Strickland Entomological Museum "
UBC-UBCZ,University of British Columbia - Spencer Entomological Collection 
UWOC-UWOC,University of Western Ontario Collection 
UVI-SOA-CES,"University of the Virgin Islands, Cooperative Extension Service Arthropod Collection "
UVM-UCC,Zadock Thompson Zoological Collections - Caribbean Island Biogeography (CARBIO) Arachnid Collection 
UPR-MEBT-UPR,Museo de Entomología y Biodiversidad Tropical Collection - University of Puerto Rico 
UPRM-INVCOL,University of Puerto Rico Mayagüez Invertebrate Collection 
MELU-AFI,Australian Freshwater Invertebrates 
CAS-ANTWEB,AntWeb 
EVG-EVGC,Ed V Gage Collection 
MWK-MWKPC,Michael W Klein Personal Collection and Observations 
USGS-PWRC,Native Bee Inventory and Monitoring Lab - World - Bees 
TAMU-SongLab,Orthoptera DNA Tissue Collection 
AMNH-PBI,Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop)
SCAN-ARTSYS,SCAN Collection of Externally Processed Specimens 
UNL-SCARAB,Scarab Central: World Scarabaeoidea 
WWD-WWD,World Weevil Database 
NSMLV-ENT,"Nevada State Museum, Las Vegas Entomology Collection "
CIDA-ENT,Orma Smith Museum of Natural History 
BURKLE-LAMANNA,Plant–pollinator community assembly across wildfire gradients 
RMBL-ENT,Rocky Mountain Biological Laboratory Insect Collection 
USDA-ARS,Bee Biology and Systematics Laboratory 
BYU-BYUC,Brigham Young University Arthropod Museum 
CSU-CSUC,C.P. Gillette Museum of Arthropod Diversity 
CC-OBE-COCOA,Colorado College Arthropod Collection 
DBG-DBGA,Denver Botanic Gardens Collection of Arthropods 
DMNS-Arac,Denver Museum of Nature & Science - Arachnology 
DMNS-Ento,Denver Museum of Nature & Science - Entomology 
DUGWAY-DUG-ENT,Dugway Proving Ground Natural History Collection 
UMNH-ENT,Entomology Collection at the Natural History Museum of Utah 
UCM-UCMC,University of Colorado Museum of Natural History Entomology Collection 
UNR-ENTO,"University of Nevada, Reno, Museum of Natural History, Entomology Research Collection "
UDAF-UDAFE,Utah Department of Agriculture and Food Entomology Collection 
UI-WFBM,William F. Barr Entomological Museum 
