,sourceTaxonClassId,sourceTaxonClassName,sourceTaxonFamilyId,sourceTaxonFamilyName,sourceTaxonGenusId,sourceTaxonGenusName,sourceTaxonId,sourceTaxonIds,sourceTaxonKingdomId,sourceTaxonKingdomName,sourceTaxonName,sourceTaxonOrderId,sourceTaxonOrderName,sourceTaxonPathIds,sourceTaxonPathNames,sourceTaxonPathRankNames,sourceTaxonPhylumId,sourceTaxonPhylumName,sourceTaxonRank,sourceTaxonSpeciesId,sourceTaxonSpeciesName
204,NA,Insecta,NA,Apidae,NA,Ceratina,no:match,no:match,NA,Animalia,UMMZ | ummzi | UMMZI-99396 | 5f8e5520-5a19-4976-820d-f02b248e1b98,NA,Hymenoptera,NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Ceratina | Ceratina calcarata or dupla,kingdom | phylum | class | order | family | genus | species,NA,Arthropoda,NA,NA,Ceratina calcarata or dupla
4426,NA,NA,NA,Andrenidae,NA,Pseudopanugus,no:match,no:match,NA,NA,Pseudopanugus sp. E4,NA,NA,NA,Andrenidae | Pseudopanugus | Pseudopanugus sp. E4,family | genus | species,NA,NA,NA,NA,Pseudopanugus sp. E4
4427,NA,NA,NA,Andrenidae,NA,Pseudopanugus,no:match,no:match,NA,NA,Pseudopanugus sp. E3,NA,NA,NA,Andrenidae | Pseudopanugus | Pseudopanugus sp. E3,family | genus | species,NA,NA,NA,NA,Pseudopanugus sp. E3
4440,NA,NA,NA,Andrenidae,NA,Pseudopanugus,no:match,no:match,NA,NA,Pseudopanugus sp. E2,NA,NA,NA,Andrenidae | Pseudopanugus | Pseudopanugus sp. E2,family | genus | species,NA,NA,NA,NA,Pseudopanugus sp. E2
4443,NA,NA,NA,Andrenidae,NA,Pseudopanugus,no:match,no:match,NA,NA,Pseudopanugus sp. E1,NA,NA,NA,Andrenidae | Pseudopanugus | Pseudopanugus sp. E1,family | genus | species,NA,NA,NA,NA,Pseudopanugus sp. E1
4463,NA,NA,NA,Andrenidae,NA,Pseudopanugus,no:match,no:match,NA,NA,Pseudopanugus n.sp. (aff. irregularis),NA,NA,NA,Andrenidae | Pseudopanugus | Pseudopanugus n.sp. (aff. irregularis),family | genus | species,NA,NA,NA,NA,Pseudopanugus n.sp. (aff. irregularis)
4556,NA,NA,NA,Andrenidae,NA,Pseudopanugus,no:match,no:match,NA,NA,Pseudopanugus n. sp.,NA,NA,NA,Andrenidae | Pseudopanugus | Pseudopanugus n. sp.,family | genus | species,NA,NA,NA,NA,Pseudopanugus n. sp.
6249,NA,NA,NA,Halictidae,NA,Lasioglossum,no:match,no:match,NA,NA,01_2014TX_593,NA,Hymenoptera,NA,Hymenoptera | Halictidae | Lasioglossum | Lasioglossum sp.,order | family | genus | species,NA,NA,NA,NA,Lasioglossum sp.
6251,NA,NA,NA,Megachilidae,NA,Coelioxys,no:match,no:match,NA,NA,01_2014TX_576,NA,Hymenoptera,NA,Hymenoptera | Megachilidae | Coelioxys | Coelioxys sp.,order | family | genus | species,NA,NA,NA,NA,Coelioxys sp.
6262,NA,NA,NA,Halictidae,NA,Lasioglossum,no:match,no:match,NA,NA,01_2014TX_502,NA,Hymenoptera,NA,Hymenoptera | Halictidae | Lasioglossum | Lasioglossum sp.,order | family | genus | species,NA,NA,NA,NA,Lasioglossum sp.
6263,NA,NA,NA,Andrenidae,NA,Protandrena,no:match,no:match,NA,NA,01_2014TX_501,NA,Hymenoptera,NA,Hymenoptera | Andrenidae | Protandrena | Protandrena sp.,order | family | genus | species,NA,NA,NA,NA,Protandrena sp.
6265,NA,NA,NA,Halictidae,NA,Lasioglossum,no:match,no:match,NA,NA,01_2014TX_499,NA,Hymenoptera,NA,Hymenoptera | Halictidae | Lasioglossum | Lasioglossum sp.,order | family | genus | species,NA,NA,NA,NA,Lasioglossum sp.
6266,NA,NA,NA,Andrenidae,NA,Protandrena,no:match,no:match,NA,NA,01_2014TX_489,NA,Hymenoptera,NA,Hymenoptera | Andrenidae | Protandrena | Protandrena sp.,order | family | genus | species,NA,NA,NA,NA,Protandrena sp.
