"","resolvedPlantNames","Family","Genus","Species","scientificName","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes"
"1","Anemopsis californica","Saururaceae","Anemopsis","californica","Anemopsis californica","indeterminate",1,0,0,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"2","Sambucus nigra","Adoxaceae","Sambucus","nigra","Sambucus nigra subsp. caerulea","determinate",0,1,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"3","Carpobrotus chilensis","Aizoaceae","Carpobrotus","chilensis","Carpobrotus chilensis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"4","Carpobrotus edulis","Aizoaceae","Carpobrotus","edulis","Carpobrotus edulis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,NA
"5","Mesembryanthemum crystallinum","Aizoaceae","Mesembryanthemum","crystallinum","Mesembryanthemum crystallinum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"6","Mesembryanthemum nodiflorum","Aizoaceae","Mesembryanthemum","nodiflorum","Mesembryanthemum nodiflorum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"7","Rhus ovata","Anacardiaceae","Rhus","ovata","Rhus ovata","determinate",0,1,0,"spike","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"8","Schinus molle","Anacardiaceae","Schinus","molle","Schinus molle","determinate",0,1,0,"pedicel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"9","Toxicodendron diversilobum","Anacardiaceae","Toxicodendron","diversilobum","Toxicodendron diversilobum","determinate",0,1,0,"pedicel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"10","Apium graveolens","Apiaceae","Apium","graveolens","Apium graveolens","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
