plant_order,plant_phylog
Amborellales,1
Nymphaeales,2
Austrobaileyales,3
Chloranthales,4
Canellales,5
Piperales,6
Laurales,7
Magnoliales,8
Acorales,9
Alismatales,10
Dioscoreales,11
Liliales,12
Pandanales,13
Aliliales,14
Petrosaviales,15
Asparagales,16
Arecales,17
Poales,18
Commelinales,19
Zingirerales,20
Ceratophyllales,21
Ranunculales,22
Proteales,23
Trochodendrales,24
Buxales,25
Gunnerales,26
Dilleniales,27
Saxifragales,28
Vitales,29
Zygophyllales,30
Oxalidales,31
Celastrales,32
Malpighiales,33
Fabales,34
Rosales,35
Cucurbitales,36
Fagales,37
Geraniales,38
Myrtales,39
Crossosomatales,40
Picramniales,41
Sapindales,42
Huerteales,43
Malvales,44
Brassicales,45
Santalales,46
Berberidopsidales,47
Caryophyllales,48
Cornales,49
Ericales,50
Icacinales,51
Metteniusalec,52
Garryales,53
Lamiales,54
Vahliales,55
Solanales,56
Gentianales,57
Boraginales,58
Aquifoliales,59
Asterales,60
Escalloniales,61
Bruniales,62
Apiales,63
