Order,Family,Genus,Species,scientificName,Current Name Full,resolvedPlantNames,New.Genus,New.Species
Caryophyllales,Nyctaginaceae,Abronia,maritima,Abronia maritima,Abronia maritima S. Watson,Abronia maritima,Abronia,maritima
Caryophyllales,Nyctaginaceae,Abronia,umbellata,Abronia umbellata var. umbellata,Abronia umbellata Lam. var. umbellata,Abronia umbellata,Abronia,umbellata
Caryophyllales,Nyctaginaceae,Abronia,umbellata,,,Abronia umbellata var. umbellata,,
Asterales,Asteraceae,Achillea,millefolium,Achillea millefolium,Achillea millefolium L.,Achillea millefolium,Achillea,millefolium
Asterales,Asteraceae,Anthemis,cotula,Anthemis cotula,Anthemis cotula L.,Anthemis cotula,Anthemis,cotula
Gentianales,Apocynaceae,Asclepias,fascicularis,Asclepias fascicularis,Asclepias fascicularis Decne.,Asclepias fascicularis,Asclepias,fascicularis
Asterales,Asteraceae,Symphyotrichum,subulatum,Symphyotrichum subulatum,Symphyotrichum subulatum (Michx.) G.L. Nesom,Aster subulatus,Aster,subulatus
Brassicales,Brassicaceae,Brassica,nigra,Brassica nigra,Brassica nigra (L.) W.D.J. Koch,Brassica nigra,Brassica,nigra
Brassicales,Brassicaceae,Brassica,rapa,Brassica rapa,Brassica rapa L.,Brassica rapa,Brassica,rapa
Brassicales,Brassicaceae,Cakile,maritima,Cakile maritima,Cakile maritima Scop.,Cakile maritima,Cakile,maritima
Liliales,Liliaceae,Calochortus,albus,Calochortus albus,Calochortus albus (Benth.) Benth.,Calochortus albus,Calochortus,albus
Liliales,Liliaceae,Calochortus,catalinae,Calochortus catalinae,Calochortus catalinae S. Watson,Calochortus catalinae,Calochortus,catalinae
Liliales,Liliaceae,Calochortus,luteus,Calochortus luteus,Calochortus luteus Lindl.,Calochortus luteus,Calochortus,luteus
Asterales,Asteraceae,Cirsium,occidentale,Cirsium occidentale var. occidentale,Cirsium occidentale (Nutt.) Jeps. var. occidentale,Carduus occidentalis,Carduus,occidentalis
Caryophyllales,Aizoaceae,Carpobrotus,chilensis,Carpobrotus chilensis,Carpobrotus chilensis (Molina) N.E. Br.,Carpobrotus chilensis,Carpobrotus,chilensis
Caryophyllales,Aizoaceae,Carpobrotus,edulis,Carpobrotus edulis,Carpobrotus edulis (L.) N.E. Br.,Carpobrotus edulis,Carpobrotus,edulis
Rosales,Rhamnaceae,Ceanothus,arboreus,Ceanothus arboreus,Ceanothus arboreus Greene,Ceanothus arboreus,Ceanothus,arboreus
