"","x"
"1","Athyrium filix-femina"
"2","Woodwardia fimbriata"
"3","Pteridium aquilinum"
"4","Cyrtomium falcatum"
"5","Dryopteris arguta"
"6","Polystichum munitum"
"7","Equisetum hyemale"
"8","Equisetum laevigatum"
"9","Equisetum telmateia"
"10","Ophioglossum californicum"
"11","Polypodium californicum"
"12","Polypodium scouleri"
"13","Adiantum aleuticum"
"14","Adiantum capillus-veneris"
"15","Adiantum jordanii"
"16","Aspidotis californica"
"17","Myriopteris clevelandii"
"18","Myriopteris cooperae"
"19","Pellaea andromedifolia"
"20","Pellaea mucronata"
"21","Pentagramma triangularis"
"22","Pentagramma viscosa"
"23","Selaginella bigelovii"
"24","Cystopteris fragilis"
"25","Hesperocyparis macrocarpa"
"26","Pinus muricata"
"27","Pinus pinea"
"28","Anemopsis californica"
"29","Carpobrotus chilensis"
"30","Mesembryanthemum crystallinum"
"31","Mesembryanthemum nodiflorum"
"32","Tetragonia tetragonioides"
"33","Amaranthus albus"
"34","Amaranthus blitoides"
"35","Amaranthus deflexus"
"36","Amaranthus powellii"
"37","Apiastrum angustifolium"
"38","Apium graveolens"
"39","Berula erecta"
"40","Bowlesia incana"
"41","Conium maculatum"
"42","Daucus pusillus"
"43","Lomatium caruifolium"
"44","Lomatium utriculatum"
"45","Sanicula arguta"
"46","Sanicula hoffmannii"
"47","Torilis arvensis"
"48","Torilis nodosa"
"49","Yabea microcarpa"
"50","Vinca major"
"51","Achyrachaena mollis"
"52","Acourtia microcephala"
"53","Agoseris grandiflora"
"54","Amblyopappus pusillus"
"55","Ambrosia chamissonis"
"56","Ambrosia psilostachya"
"57","Anthemis cotula"
"58","Artemisia californica"
"59","Artemisia douglasiana"
"60","Baccharis glutinosa"
"61","Baccharis plummerae"
"62","Blennosperma nanum"
"63","Brickellia californica"
"64","Centaurea benedicta"
"65","Centromadia fitchii"
"66","Cichorium intybus"
"67","Cirsium brevistylum"
"68","Cotula australis"
"69","Cotula coronopifolia"
"70","Deinandra clementina"
"71","Deinandra increscens"
"72","Ericameria ericoides"
"73","Erigeron bonariensis"
"74","Erigeron glaucus"
"75","Erigeron sanctarum"
"76","Erigeron sumatrensis"
"77","Eriophyllum staechadifolium"
"78","Eurybia radulina"
"79","Gamochaeta ustulata"
"80","Gnaphalium palustre"
"81","Grindelia stricta"
"82","Hazardia detonsa"
"83","Hazardia squarrosa"
"84","Helminthotheca echioides"
"85","Hieracium argutum"
"86","Hypochaeris glabra"
"87","Jaumea carnosa"
"88","Lactuca saligna"
"89","Lactuca serriola"
"90","Laënnecia coulteri"
"91","Lasthenia gracilis"
"92","Logfia arizonica"
"93","Logfia filaginoides"
"94","Logfia gallica"
"95","Madia exigua"
"96","Madia gracilis"
"97","Madia sativa"
"98","Malacothrix coulteri"
"99","Malacothrix indecora"
"100","Malacothrix similis"
"101","Malacothrix squalida"
"102","Matricaria discoidea"
"103","Micropus californicus"
"104","Microseris douglasii"
"105","Microseris elegans"
"106","Perityle emoryi"
"107","Pseudognaphalium beneolens"
"108","Pseudognaphalium californicum"
"109","Pseudognaphalium luteoalbum"
"110","Pseudognaphalium ramosissimum"
"111","Pseudognaphalium stramineum"
"112","Psilocarphus tenellus"
"113","Rafinesquia californica"
"114","Senecio aphanactis"
"115","Senecio glomeratus"
"116","Senecio vulgaris"
"117","Sonchus asper"
"118","Stebbinsoseris heterocarpa"
"119","Stephanomeria cichoriacea"
"120","Stephanomeria diegensis"
"121","Stylocline gnaphaloides"
"122","Symphyotrichum subulatum"
"123","Taraxacum erythrospermum"
"124","Taraxacum officinale"
"125","Tragopogon porrifolius"
"126","Uropappus lindleyi"
"127","Urospermum picroides"
"128","Xanthium spinosum"
"129","Xanthium strumarium"
"130","Berberis pinnata"
"131","Amsinckia spectabilis"
"132","Cryptantha clevelandii"
"133","Cryptantha leiocarpa"
"134","Cryptantha muricata"
"135","Johnstonella micromeres"
"136","Pectocarya heterocarpa"
"137","Pectocarya linearis"
"138","Pectocarya penicillata"
"139","Plagiobothrys acanthocarpus"
"140","Plagiobothrys canescens"
"141","Plagiobothrys collinus"
"142","Athysanus pusillus"
"143","Boechera hoffmannii"
"144","Brassica rapa"
"145","Cakile maritima"
"146","Capsella bursa-pastoris"
"147","Cardamine californica"
"148","Cardamine oligosperma"
"149","Caulanthus lasiophyllus"
"150","Descurainia pinnata"
"151","Draba cuneifolia"
"152","Erysimum insulare"
"153","Hornungia procumbens"
"154","Lepidium draba"
"155","Lepidium latipes"
"156","Lepidium nitidum"
"157","Lepidium oblongum"
"158","Lepidium virginicum"
"159","Nasturtium officinale"
"160","Raphanus raphanistrum"
"161","Sibara filifolia"
"162","Sinapis arvensis"
"163","Sisymbrium officinale"
"164","Thysanocarpus conchuliferus"
"165","Thysanocarpus curvipes"
"166","Thysanocarpus laciniatus"
"167","Turritis glabra"
"168","Cylindropuntia prolifera"
"169","Opuntia ficus-indica"
"170","Opuntia oricola"
"171","Githopsis diffusa"
"172","Triodanis biflora"
"173","Lonicera hispidula"
"174","Lonicera interrupta"
"175","Symphoricarpos mollis"
"176","Cardionema ramosissimum"
"177","Cerastium glomeratum"
"178","Minuartia douglasii"
"179","Polycarpon depressum"
"180","Polycarpon tetraphyllum"
"181","Sagina apetala"
"182","Sagina decumbens"
"183","Silene antirrhina"
"184","Silene gallica"
"185","Silene multinervia"
"186","Spergularia bocconi"
