"","Var1","Freq"
"A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining.","A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining.",21
"American Museum of Natural History Invertebrate Zoology Collection","American Museum of Natural History Invertebrate Zoology Collection",166
"Archbold Biological Station Arthropod Collection","Archbold Biological Station Arthropod Collection",1
"Arizona State University","Arizona State University",1
"Bee Biology and Systematics Laboratory","Bee Biology and Systematics Laboratory",941
"BLM Mother Lode Field Office: The Bees of Pine Hill Preserve","BLM Mother Lode Field Office: The Bees of Pine Hill Preserve",5
"C.P. Gillette Museum of Arthropod Diversity","C.P. Gillette Museum of Arthropod Diversity",42
"Carril OM, Griswold T, Haefner J, Wilson JS. (2018) Wild bees of Grand Staircase-Escalante National Monument: richness, abundance, and spatio-temporal beta-diversity. PeerJ 6:e5867 https://doi.org/10.7717/peerj.5867","Carril OM, Griswold T, Haefner J, Wilson JS. (2018) Wild bees of Grand Staircase-Escalante National Monument: richness, abundance, and spatio-temporal beta-diversity. PeerJ 6:e5867 https://doi.org/10.7717/peerj.5867",222
"Connecticut Agricultural Experiment Station Arthropod Collection","Connecticut Agricultural Experiment Station Arthropod Collection",4
"Cornell University Insect Collection","Cornell University Insect Collection",23
"Dartmouth College Insect Collection","Dartmouth College Insect Collection",2
"Essig Museum of Entomology","Essig Museum of Entomology",82
"Florida State Collection of Arthropods","Florida State Collection of Arthropods",1
"Giselle Muschett & Francisco E. Fontúrbel. 2021. A comprehensive catalogue of plant – pollinator interactions for Chile","Giselle Muschett & Francisco E. Fontúrbel. 2021. A comprehensive catalogue of plant – pollinator interactions for Chile",1
"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, """"A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"""", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, """"A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"""", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1",598
"https://mangal.io - the ecological interaction database.","https://mangal.io - the ecological interaction database.",3
"iNaturalist Research-grade Observations","iNaturalist Research-grade Observations",2251
