"Family","Genus","Species","scientificName","Current Name Full","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes","resolvedPlantNames","New.Genus","New.Species"
"Aizoaceae","Carpobrotus","chilensis","Carpobrotus chilensis","Carpobrotus chilensis (Molina) N.E. Br.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,"Carpobrotus chilensis","Carpobrotus","chilensis"
"Aizoaceae","Carpobrotus","edulis","Carpobrotus edulis","Carpobrotus edulis (L.) N.E. Br.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,NA,"Carpobrotus edulis","Carpobrotus","edulis"
"Aizoaceae","Mesembryanthemum","crystallinum","Mesembryanthemum crystallinum","Mesembryanthemum crystallinum L.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA,"Mesembryanthemum crystallinum","Mesembryanthemum","crystallinum"
"Aizoaceae","Mesembryanthemum","nodiflorum","Mesembryanthemum nodiflorum","Mesembryanthemum nodiflorum L.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,"Mesembryanthemum nodiflorum","Mesembryanthemum","nodiflorum"
"Anacardiaceae","Rhus","integrifolia","Rhus integrifolia","Rhus integrifolia (Nutt.) Rothr.","determinate",0,1,0,"spike","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA,"Rhus integrifolia","Rhus","integrifolia"
"Anacardiaceae","Rhus","ovata","Rhus ovata","Rhus ovata S. Watson","determinate",0,1,0,"spike","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,"Rhus ovata","Rhus","ovata"
"Anacardiaceae","Toxicodendron","diversilobum","Toxicodendron diversilobum","Toxicodendron diversilobum (Torr. & A. Gray) Greene","determinate",0,1,0,"pedicel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA,"Toxicodendron diversilobum","Toxicodendron","diversilobum"
"Apiaceae","Daucus","pusillus","Daucus pusillus","Daucus pusillus Michx.","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,"Daucus pusillus","Daucus","pusillus"
"Apiaceae","Foeniculum","vulgare","Foeniculum vulgare","Foeniculum vulgare Mill.","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA,"Foeniculum vulgare","Foeniculum","vulgare"
"Apocynaceae","Asclepias","fascicularis","Asclepias fascicularis","Asclepias fascicularis Decne.","determinate",0,1,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,"Asclepias fascicularis","Asclepias","fascicularis"
