,x,citationType
1,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining.,Aggregated
2,American Museum of Natural History Invertebrate Zoology Collection,Collection
3,Bee Biology and Systematics Laboratory,Collection
4,"Carril OM, Griswold T, Haefner J, Wilson JS. (2018) Wild bees of Grand Staircase-Escalante National Monument: richness, abundance, and spatio-temporal beta-diversity. PeerJ 6:e5867 https://doi.org/10.7717/peerj.5867",Literature
5,Essig Museum of Entomology,Collection
6,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, """"A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"""", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1",Literature
7,iNaturalist Research-grade Observations,Aggregated
8,"Kenneth S. Norris Center for Natural History, University of California Santa Cruz, Insect Collection",Collection
9,"LaManna, JA, Burkle, LA, Belote, RT, Myers, JA. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. J Ecol. 2020; 00: 1– 14. https://doi.org/10.1111/1365-2745.13530 .",Literature
10,Museum of Southwestern Biology,Collection
11,RL Minckley Insect and Plant Collection,Collection
12,Robert L. Minckley San Bernardino Valley from the year 2000 to 2011.,Collection
13,"Schwarz, Benjamin et al. (2021). Data from: Temporal scale-dependence of plant-pollinator networks [Dataset]. Dryad. https://doi.org/10.5061/dryad.qz612jmbp",Literature
14,"Seltmann, K., Van Wagner, J., Behm, R., Brown, Z., Tan, E., & Liu, K. (2020). BID: A project to share biotic interaction and ecological trait data about bees (Hymenoptera: Anthophila). UC Santa Barbara: Cheadle Center for Biodiversity and Ecological Restoration. Retrieved from https://escholarship.org/uc/item/1g21k7bf",Literature
15,Symbiota Collections of Arthropods Network (SCAN),Collection
16,University of California Santa Barbara Invertebrate Zoology Collection,Collection
17,University of Colorado Museum of Natural History Entomology Collection,Collection
18,University of Kansas Natural History Museum Entomology Division,Collection
