"","x"
"1","Abronia maritima"
"2","Achillea millefolium"
"3","Agapostemon texanus"
"4","Amsinckia"
"5","Amsinckia intermedia"
"6","Amsinckia menziesii"
"7","Andrena auricoma"
"8","Andrena caerulea"
"9","Andrena oenotherae"
"10","Andrena principalis"
"11","Andrena prunorum"
"12","Anthidium collectum"
"13","Anthidium illustre"
"14","Anthidium maculosum"
"15","Anthophora californica"
"16","Anthophora edwardsii"
"17","Anthophora urbana"
"18","Antirrhinum nuttallianum"
"19","Apis mellifera"
"20","Apis mellifera"
"21","Arctostaphylos"
"22","Asclepias fascicularis"
"23","Astragalus"
"24","Astragalus trichopodus"
"25","Astragalus trichopodus lonchus"
"26","Augochlorella pomoniella"
"27","Baccharis pilularis"
"28","Baccharis pilularis"
"29","Baccharis salicifolia"
"30","Bombus californicus"
"31","Bombus crotchii"
"32","Bombus melanopygus"
"33","Bombus vosnesenskii"
"34","Bombus vosnesenskii"
"35","Brassica"
"36","Brassica nigra"
"37","Brassica nigra"
"38","Calystegia macrostegia"
"39","Calystegia macrostegia amplissima"
"40","Calystegia macrostegia macrostegia"
"41","Camissonia"
"42","Carduus pycnocephalus"
"43","Carpobrotus edulis"
"44","Ceanothus arboreus"
"45","Ceanothus megacarpus"
"46","Centaurea melitensis"
"47","Centaurea solstitialis"
"48","Ceratina acantha"
"49","Cirsium occidentale"
"50","Cirsium vulgare"
"51","Cirsium vulgare"
"52","Clarkia unguiculata"
"53","Convolvulus"
"54","Convolvulus arvensis"
"55","Corethrogyne filaginifolia"
"56","Croton setiger"
"57","Cryptantha"
"58","Cucurbita foetidissima"
"59","Cuscuta"
"60","Cynara cardunculus"
"61","Datura wrightii"
"62","Datura wrightii"
"63","Deinandra fasciculata"
"64","Diadasia bituberculata"
"65","Diadasia nigrifrons"
"66","Diadasia ochracea"
"67","Distichlis spicata"
"68","Encelia californica"
"69","Encelia californica"
"70","Epeolus minimus"
"71","Epilobium canum"
"72","Erigeron canadensis"
"73","Erigeron foliosus"
"74","Eriogonum giganteum"
"75","Eriogonum latifolium"
"76","Eriophyllum confertiflorum"
"77","Erodium cicutarium"
"78","Eschscholzia"
"79","Eschscholzia californica"
"80","Eschscholzia californica"
"81","Eucalyptus"
"82","Eucalyptus globulus"
"83","Euphorbia polycarpa"
"84","Foeniculum vulgare"
"85","Gilia"
"86","Gilia capitata"
"87","Gilia tricolor"
"88","Grindelia camporum"
"89","Habropoda depressa"
"90","Halictus farinosus"
"91","Halictus ligatus"
"92","Halictus rubicundus"
"93","Halictus tripartitus"
"94","Helianthus annuus"
"95","Heliotropium curassavicum"
"96","Heteromeles arbutifolia"
"97","Heterotheca grandiflora"
"98","Hirschfeldia incana"
"99","Hylaeus mesillae"
"100","Hylaeus polifolii"
"101","Isocoma menziesii"
"102","Keckiella cordifolia"
"103","Lasioglossum channelense"
"104","Lasioglossum ovaliceps"
"105","Lasioglossum titusi"
"106","Lathyrus vestitus"
"107","Layia platyglossa"
"108","Lepidospartum squamatum"
"109","Leptosyne gigantea"
"110","Lonicera subspicata"
"111","Lonicera subspicata denudata"
"112","Lotus"
"113","Lotus corniculatus"
"114","Lupinus"
"115","Lupinus albifrons"
"116","Lupinus bicolor"
"117","Lupinus succulentus"
"118","Lyonothamnus floribundus"
"119","Lythrum californicum"
"120","Malacothamnus fasciculatus"
"121","Malacothrix saxatilis"
"122","Malacothrix saxatilis implicata"
"123","Marrubium vulgare"
"124","Megachile apicalis"
"125","Megachile brevis"
"126","Megachile coquilletti"
"127","Megachile montivaga"
"128","Melecta separata"
"129","Melecta separata callura"
"130","Melilotus albus"
"131","Myoporum laetum"
"132","Opuntia littoralis"
"133","Oxalis pes-caprae"
"134","Oxalis pes-caprae"
"135","Phacelia"
"136","Phacelia cicutaria"
"137","Phacelia distans"
"138","Phacelia ramosissima"
"139","Phacelia tanacetifolia"
"140","Pholistoma auritum"
"141","Phyla nodiflora"
"142","Pluchea odorata"
"143","Protosmia rubifloris"
"144","Pseudognaphalium"
"145","Pseudognaphalium biolettii"
"146","Pseudognaphalium microcephalum"
"147","Quercus"
"148","Quercus agrifolia"
"149","Ranunculus californicus"
"150","Raphanus sativus"
"151","Raphanus sativus"
"152","Rhus integrifolia"
"153","Rhus ovata"
"154","Ribes"
"155","Rosa"
"156","Rosa californica"
"157","Rosa californica"
"158","Salix"
"159","Salvia columbariae"
"160","Salvia leucophylla"
"161","Salvia mellifera"
"162","Sambucus nigra cerulea"
"163","Schinus molle"
"164","Senecio flaccidus douglasii"
"165","Sidalcea"
"166","Sidalcea malviflora"
"167","Silene laciniata"
"168","Silybum marianum"
"169","Sonchus oleraceus"
"170","Stachys"
"171","Stachys bullata"
"172","Stephanomeria"
"173","Stephanomeria exigua coronaria"
"174","Stephanomeria virgata"
"175","Symphyotrichum chilense"
"176","Tamarix"
"177","Tamarix ramosissima"
"178","Toxicodendron diversilobum"
"179","Trifolium"
"180","Venegasia carpesioides"
"181","Verbena lasiostachys"
"182","Veronica anagallis-aquatica"
"183","Vicia"
"184","Vicia villosa"
"185","Vicia villosa"
"186","Xeromelecta californica"
