"","x"
"1","Abronia maritima"
"2","Abronia umbellata"
"3","Acacia"
"4","Acacia melanoxylon"
"5","Achillea"
"6","Achillea millefolium"
"7","Acmispon"
"8","Acmispon americanus"
"9","Acmispon wrangelianus"
"10","Adenostoma fasciculatum"
"11","Agapostemon texanus"
"12","Agapostemon texanus"
"13","Ageratum conyzoides"
"14","Agoseris grandiflora"
"15","Alcea rosea"
"16","Allium"
"17","Amaranthus spinosus"
"18","Amsinckia"
"19","Amsinckia intermedia"
"20","Amsinckia menziesii"
"21","Amsinckia spectabilis"
"22","Andrena auricoma"
"23","Andrena caerulea"
"24","Andrena candida"
"25","Andrena nigrocaerulea"
"26","Andrena oenotherae"
"27","Andrena perimelas"
"28","Andrena plana"
"29","Andrena principalis"
"30","Andrena prunorum"
"31","Andrena suavis"
"32","Anthemis cotula"
"33","Anthidium collectum"
"34","Anthidium illustre"
"35","Anthidium maculosum"
"36","Anthophora californica"
"37","Anthophora edwardsii"
"38","Anthophora urbana"
"39","Antirrhinum nuttallianum"
"40","Apis mellifera"
"41","Apis mellifera"
"42","Apis mellifera iberiensis"
"43","Apis mellifera ligustica"
"44","Arbutus menziesii"
"45","Arctostaphylos"
"46","Arctostaphylos crustacea"
"47","Arctostaphylos crustacea crinita"
"48","Arctostaphylos crustacea crustacea"
"49","Artemisia californica"
"50","Artemisia douglasiana"
"51","Asclepias fascicularis"
"52","Ashmeadiella cactorum"
"53","Ashmeadiella cubiceps"
"54","Ashmeadiella opuntiae"
"55","Ashmeadiella timberlakei solida"
"56","Ashmeadiella xenomastax"
"57","Aster subulatus"
"58","Astragalus"
"59","Astragalus lentiginosus"
"60","Astragalus trichopodus"
"61","Astragalus trichopodus lonchus"
"62","Atriplex prostrata"
"63","Augochlorella pomoniella"
"64","Baccharis glutinosa"
"65","Baccharis pilularis"
"66","Baccharis pilularis"
"67","Baccharis pilularis consanguinea"
"68","Baccharis salicifolia"
"69","Bidens alba"
"70","Bidens pilosa"
"71","Bidens pilosa"
"72","Bombus californicus"
"73","Bombus crotchii"
"74","Bombus melanopygus"
"75","Bombus occidentalis"
"76","Bombus occidentalis occidentalis"
"77","Bombus vosnesenskii"
"78","Bombus vosnesenskii"
"79","Brassica"
"80","Brassica juncea"
"81","Brassica nigra"
"82","Brassica nigra"
"83","Brassica rapa"
"84","Brassica rapa oleifera"
"85","Cakile maritima"
"86","Calendula"
"87","Calochortus albus"
"88","Calochortus luteus"
"89","Calystegia macrostegia"
"90","Calystegia macrostegia amplissima"
"91","Calystegia macrostegia macrostegia"
"92","Calystegia soldanella"
"93","Camissonia"
"94","Capsella bursa-pastoris"
"95","Cardiospermum corindum"
"96","Carduus pycnocephalus"
"97","Carpobrotus chilensis"
"98","Carpobrotus edulis"
"99","Castilleja"
"100","Castilleja affinis"
"101","Castilleja attenuata"
"102","Castilleja densiflora"
"103","Castilleja densiflora densiflora"
"104","Castilleja exserta"
"105","Castilleja foliolosa"
"106","Ceanothus arboreus"
"107","Ceanothus cuneatus"
"108","Ceanothus megacarpus"
"109","Centaurea melitensis"
"110","Centaurea solstitialis"
"111","Centranthus ruber"
"112","Cerastium"
"113","Cerastium glomeratum"
"114","Ceratina acantha"
"115","Ceratina nanula"
"116","Cercocarpus"
"117","Chorizanthe"
"118","Cichorium intybus"
"119","Cirsium occidentale"
"120","Cirsium vulgare"
"121","Cirsium vulgare"
"122","Clarkia"
"123","Clarkia purpurea"
