"","argumentTypeId","decimalLatitude","decimalLongitude","eventDateUnixEpoch","interactionTypeId","interactionTypeName","localityId","localityName","referenceCitation","referenceDoi","referenceUrl","sourceArchiveURI","sourceBasisOfRecordId","sourceBasisOfRecordName","sourceBodyPartId","sourceBodyPartName","sourceCatalogNumber","sourceCitation","sourceCollectionCode","sourceDOI","sourceId","sourceInstitutionCode","sourceLastSeenAtUnixEpoch","sourceLifeStageId","sourceLifeStageName","sourceNamespace","sourceOccurrenceId","sourcePhysiologicalStateId","sourcePhysiologicalStateName","sourceSexId","sourceSexName","sourceTaxonClassId","sourceTaxonClassName","sourceTaxonFamilyId","sourceTaxonFamilyName","sourceTaxonGenusId","sourceTaxonGenusName","sourceTaxonId","sourceTaxonIds","sourceTaxonKingdomId","sourceTaxonKingdomName","sourceTaxonName","sourceTaxonOrderId","sourceTaxonOrderName","sourceTaxonPathIds","sourceTaxonPathNames","sourceTaxonPathRankNames","sourceTaxonPhylumId","sourceTaxonPhylumName","sourceTaxonRank","sourceTaxonSpeciesId","sourceTaxonSpeciesName","targetArchiveURI","targetBasisOfRecordId","targetBasisOfRecordName","targetBodyPartId","targetBodyPartName","targetCatalogNumber","targetCitation","targetCollectionCode","targetDOI","targetId","targetInstitutionCode","targetLastSeenAtUnixEpoch","targetLifeStageId","targetLifeStageName","targetNamespace","targetOccurrenceId","targetPhysiologicalStateId","targetPhysiologicalStateName","targetSexId","targetSexName","targetTaxonClassId","targetTaxonClassName","targetTaxonFamilyId","targetTaxonFamilyName","targetTaxonGenusId","targetTaxonGenusName","targetTaxonId","targetTaxonIds","targetTaxonKingdomId","targetTaxonKingdomName","targetTaxonName","targetTaxonOrderId","targetTaxonOrderName","targetTaxonPathIds","targetTaxonPathNames","targetTaxonPathRankNames","targetTaxonPhylumId","targetTaxonPhylumName","targetTaxonRank","targetTaxonSpeciesId","targetTaxonSpeciesName","resolvedPlantNames","New.Genus","New.Species"
"17774","https://en.wiktionary.org/wiki/support",34.01667,-119.71667,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz Island, upper central valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"BBSLID88849","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:5386","Fabaceae","GBIF:2947158","Ottleya","GBIF:2947172","GBIF:2947172 | GBIF:5356854 | IRMNG:11374236 | ITIS:820057","GBIF:6","Plantae","Ottleya oroboides","GBIF:1370","Fabales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1370 | GBIF:5386 | GBIF:2947158 | GBIF:2947172","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Ottleya | Ottleya oroboides","kingdom | phylum | class | order | family | genus | species","GBIF:7707728","Tracheophyta","species","GBIF:2947172","Ottleya oroboides","Ottleya oroboides","Ottleya","oroboides"
"17791","https://en.wiktionary.org/wiki/support",34.01667,-119.71667,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz Island, upper central valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"BBSLID88634","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:5386","Fabaceae","GBIF:10220564","Lotus","GBIF:10220564","GBIF:10220564 | GBIF:2415459 | GBIF:2962960 | IRMNG:1307578 | IRMNG:1444050 | ITIS:26361 | NCBI:3867 | WD:Q3645698 | WORMS:426009","GBIF:6","Plantae","Lotus","GBIF:1370","Fabales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1370 | GBIF:5386 | GBIF:10220564","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus","kingdom | phylum | class | order | family | genus","GBIF:7707728","Tracheophyta","genus",NA,NA,NA,NA,NA
"17792","https://en.wiktionary.org/wiki/support",34.01667,-119.71667,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz Island, upper central valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"BBSLID88633","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:5386","Fabaceae","GBIF:10220564","Lotus","GBIF:10220564","GBIF:10220564 | GBIF:2415459 | GBIF:2962960 | IRMNG:1307578 | IRMNG:1444050 | ITIS:26361 | NCBI:3867 | WD:Q3645698 | WORMS:426009","GBIF:6","Plantae","Lotus","GBIF:1370","Fabales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1370 | GBIF:5386 | GBIF:10220564","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus","kingdom | phylum | class | order | family | genus","GBIF:7707728","Tracheophyta","genus",NA,NA,NA,NA,NA
"17793","https://en.wiktionary.org/wiki/support",34.01667,-119.71667,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz Island, upper central valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"BBSLID88632","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:5386","Fabaceae","GBIF:10220564","Lotus","GBIF:10220564","GBIF:10220564 | GBIF:2415459 | GBIF:2962960 | IRMNG:1307578 | IRMNG:1444050 | ITIS:26361 | NCBI:3867 | WD:Q3645698 | WORMS:426009","GBIF:6","Plantae","Lotus","GBIF:1370","Fabales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1370 | GBIF:5386 | GBIF:10220564","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus","kingdom | phylum | class | order | family | genus","GBIF:7707728","Tracheophyta","genus",NA,NA,NA,NA,NA
"17794","https://en.wiktionary.org/wiki/support",34.01667,-119.71667,NA,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz Island, upper central valley","AnthWest, occurrence records for wool carder bees of the genus Anthidium (Hymenoptera: Megachilidae, Anthidiini) in the Western Hemisphere - Version 7.0. Accessed at <https://ipt.pensoft.net/archive.do?r=anthidium> on 11 Sep 2021.",NA,NA,"https://github.com/globalbioticinteractions/pensoft-ipt/archive/4ad4b47978324681289e36f8c2b247b1bcc97b1a.zip",NA,NA,NA,NA,"BBSLID88631","Pensoft Darwin Core Archives available via Integrated Publication Toolkit",NA,NA,NA,"USDA-ARS","2021-09-11 01:24:09",NA,NA,"globalbioticinteractions/pensoft-ipt",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Megachilidae",NA,"Anthidium","ITIS:699651","GBIF:1334950 | ITIS:699651",NA,"Animalia","Anthidium collectum",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Anthidiini | Anthidium | Anthidium collectum","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Anthidium collectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:5386","Fabaceae","GBIF:10220564","Lotus","GBIF:10220564","GBIF:10220564 | GBIF:2415459 | GBIF:2962960 | IRMNG:1307578 | IRMNG:1444050 | ITIS:26361 | NCBI:3867 | WD:Q3645698 | WORMS:426009","GBIF:6","Plantae","Lotus","GBIF:1370","Fabales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1370 | GBIF:5386 | GBIF:10220564","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Lotus","kingdom | phylum | class | order | family | genus","GBIF:7707728","Tracheophyta","genus",NA,NA,NA,NA,NA
"19578","https://en.wiktionary.org/wiki/support",NA,NA,743558400000,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz","https://scan-bugs.org:443/portal/collections/individual/index.php?occid=30659616",NA,NA,"https://github.com/globalbioticinteractions/scan/archive/a27cc20410daa12d736914bf66d86f65911d762c.zip",NA,NA,NA,NA,"UCSCRMIC0937321","Symbiota Collections of Arthropods Network (SCAN)",NA,NA,"eefe44df-a670-4f16-9a9d-09838445c078","UCSC","2021-09-11 01:36:27",NA,"Adult","globalbioticinteractions/scan",NA,NA,NA,NA,"Female",NA,"Insecta",NA,"Apidae",NA,"Ceratina","ITIS:684914","GBIF:5039980 | ITIS:684914 | NCBI:1161896 | http://treatment.plazi.org/id/5A22010DB8B0505CAAE7ACEA87698113 | http://treatment.plazi.org/id/617E369B1CF1B752D2094ECB7C9AF4C2",NA,"Animalia","Ceratina nanula",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Xylocopinae | Ceratinini | Ceratina | Ceratina nanula","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Ceratina nanula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,"Asteraceae",NA,"Cirsium","INAT_TAXON:52989","GBIF:3112801 | GBIF:7844334 | GBIF:8747502 | INAT_TAXON:52989 | IRMNG:11366726 | ITIS:36428 | NCBI:92907 | WD:Q21177 | WORMS:1091946",NA,"Plantae","Cirsium vulgare",NA,"Asterales",NA,"Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Cirsium | Cirsium vulgare","kingdom | phylum | class | order | family | genus | species",NA,"Tracheophyta","species",NA,"Cirsium vulgare","Cirsium vulgare","Cirsium","vulgare"
"19587","https://en.wiktionary.org/wiki/support",NA,NA,743558400000,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz","https://scan-bugs.org:443/portal/collections/individual/index.php?occid=30659613",NA,NA,"https://github.com/globalbioticinteractions/scan/archive/a27cc20410daa12d736914bf66d86f65911d762c.zip",NA,NA,NA,NA,"UCSCRMIC0937318","Symbiota Collections of Arthropods Network (SCAN)",NA,NA,"e76cf66a-d673-49b7-bb9b-7338272fdedb","UCSC","2021-09-11 01:36:27",NA,"Adult","globalbioticinteractions/scan",NA,NA,NA,NA,"male",NA,"Insecta",NA,"Apidae",NA,"Ceratina","ITIS:684914","GBIF:5039980 | ITIS:684914 | NCBI:1161896 | http://treatment.plazi.org/id/5A22010DB8B0505CAAE7ACEA87698113 | http://treatment.plazi.org/id/617E369B1CF1B752D2094ECB7C9AF4C2",NA,"Animalia","Ceratina nanula",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Xylocopinae | Ceratinini | Ceratina | Ceratina nanula","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Ceratina nanula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:6689","Verbenaceae","GBIF:2925470","Verbena","GBIF:2925519","GBIF:2925519 | INAT_TAXON:53316 | IRMNG:10590640 | ITIS:32104 | ITIS:530781","GBIF:6","Plantae","Verbena lasiostachys","GBIF:408","Lamiales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:408 | GBIF:6689 | GBIF:2925470 | GBIF:2925519","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Verbenaceae | Verbena | Verbena lasiostachys","kingdom | phylum | class | order | family | genus | species","GBIF:7707728","Tracheophyta","species","GBIF:2925519","Verbena lasiostachys","Verbena lasiostachys","Verbena","lasiostachys"
"19749","https://en.wiktionary.org/wiki/support",NA,NA,743558400000,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz","https://scan-bugs.org:443/portal/collections/individual/index.php?occid=30659614",NA,NA,"https://github.com/globalbioticinteractions/scan/archive/a27cc20410daa12d736914bf66d86f65911d762c.zip",NA,NA,NA,NA,"UCSCRMIC0937319","Symbiota Collections of Arthropods Network (SCAN)",NA,NA,"72642b85-df45-4b82-9f7e-e8c261837d21","UCSC","2021-09-11 01:36:27",NA,"Adult","globalbioticinteractions/scan",NA,NA,NA,NA,"Female",NA,"Insecta",NA,"Apidae",NA,"Ceratina","ITIS:684914","GBIF:5039980 | ITIS:684914 | NCBI:1161896 | http://treatment.plazi.org/id/5A22010DB8B0505CAAE7ACEA87698113 | http://treatment.plazi.org/id/617E369B1CF1B752D2094ECB7C9AF4C2",NA,"Animalia","Ceratina nanula",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Xylocopinae | Ceratinini | Ceratina | Ceratina nanula","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Ceratina nanula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:6689","Verbenaceae","GBIF:2925470","Verbena","GBIF:2925519","GBIF:2925519 | INAT_TAXON:53316 | IRMNG:10590640 | ITIS:32104 | ITIS:530781","GBIF:6","Plantae","Verbena lasiostachys","GBIF:408","Lamiales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:408 | GBIF:6689 | GBIF:2925470 | GBIF:2925519","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Verbenaceae | Verbena | Verbena lasiostachys","kingdom | phylum | class | order | family | genus | species","GBIF:7707728","Tracheophyta","species","GBIF:2925519","Verbena lasiostachys","Verbena lasiostachys","Verbena","lasiostachys"
"19780","https://en.wiktionary.org/wiki/support",NA,NA,743558400000,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz","https://scan-bugs.org:443/portal/collections/individual/index.php?occid=30659615",NA,NA,"https://github.com/globalbioticinteractions/scan/archive/a27cc20410daa12d736914bf66d86f65911d762c.zip",NA,NA,NA,NA,"UCSCRMIC0937320","Symbiota Collections of Arthropods Network (SCAN)",NA,NA,"590405a5-6877-4849-9334-3cea6fee3081","UCSC","2021-09-11 01:36:27",NA,"Adult","globalbioticinteractions/scan",NA,NA,NA,NA,"Female",NA,"Insecta",NA,"Apidae",NA,"Ceratina","ITIS:684914","GBIF:5039980 | ITIS:684914 | NCBI:1161896 | http://treatment.plazi.org/id/5A22010DB8B0505CAAE7ACEA87698113 | http://treatment.plazi.org/id/617E369B1CF1B752D2094ECB7C9AF4C2",NA,"Animalia","Ceratina nanula",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Xylocopinae | Ceratinini | Ceratina | Ceratina nanula","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species",NA,"Arthropoda","species",NA,"Ceratina nanula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,"Asteraceae",NA,"Cirsium","INAT_TAXON:52989","GBIF:3112801 | GBIF:7844334 | GBIF:8747502 | INAT_TAXON:52989 | IRMNG:11366726 | ITIS:36428 | NCBI:92907 | WD:Q21177 | WORMS:1091946",NA,"Plantae","Cirsium vulgare",NA,"Asterales",NA,"Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Cirsium | Cirsium vulgare","kingdom | phylum | class | order | family | genus | species",NA,"Tracheophyta","species",NA,"Cirsium vulgare","Cirsium vulgare","Cirsium","vulgare"
"22158","https://en.wiktionary.org/wiki/support",34.019513,-119.72834,458524800000,"http://purl.obolibrary.org/obo/RO_0002437","interactsWith",NA,"Santa Cruz Island","https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=127247",NA,NA,"https://github.com/globalbioticinteractions/ucsb-izc/archive/aef653b2097b937955f1c167d143b21f9914cfb0.zip",NA,NA,NA,NA,"UCSB-IZC00035590","University of California Santa Barbara Invertebrate Zoology Collection",NA,NA,"e324236d-cfcd-4b60-aa3e-f92050f860a8","UCSB","2021-09-11 01:51:19",NA,"Adult","globalbioticinteractions/ucsb-izc",NA,NA,NA,NA,"Male",NA,"Insecta",NA,"Colletidae",NA,"Hylaeus","ITIS:655753","GBIF:1350015 | IRMNG:10235071 | ITIS:655753",NA,"Animalia","Hylaeus polifolii",NA,"Hymenoptera",NA,"Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Colletidae | Hylaeinae | Hylaeus | Hylaeus polifolii","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | genus | species",NA,"Arthropoda","species",NA,"Hylaeus polifolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBIF:220","Magnoliopsida","GBIF:6720","Apiaceae","GBIF:3034921","Foeniculum","GBIF:3034921","GBIF:3034921 | IRMNG:1099192 | ITIS:29508 | NCBI:48037 | WD:Q27030","GBIF:6","Plantae","Foeniculum","GBIF:1351","Apiales","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1351 | GBIF:6720 | GBIF:3034921","Plantae | Tracheophyta | Magnoliopsida | Apiales | Apiaceae | Foeniculum","kingdom | phylum | class | order | family | genus","GBIF:7707728","Tracheophyta","genus",NA,NA,NA,NA,NA
