sourceTaxonPathIds,sourceTaxonPathNames,sourceTaxonPathRankNames,sourceTaxonPhylumId,sourceTaxonPhylumName,sourceTaxonRank,sourceTaxonSpeciesId,sourceTaxonSpeciesName,resolvedBeeNames,notes
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Afranthidium | Afranthidium braunsi,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Afranthidium braunsi,Pseudoanthidium braunsi,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Afranthidium | Afranthidium junodi,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Afranthidium junodi,Pseudoanthidium junodi,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Afranthidium | Afranthidium karooense,kingdom | phylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Afranthidium karooense,Afranthidium karrooense,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Afranthidium | Afranthidium minutulum,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Afranthidium minutulum,Pseudoanthidium minutulum,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Afranthidium | Afranthidium sjoestedti,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Afranthidium sjoestedti,Pseudoanthidium sjoestedti,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Afroheriades | Afroheriades larvatus,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Afroheriades larvatus,Afroheriades larvata,
NA,Hymenoptera | Halictidae | Agapostemon | Agapostemon angelicus/texanus,order | family | genus | species,NA,NA,NA,NA,Agapostemon angelicus/texanus,Agapostemon texanus,
NA,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Andrenidae | Andrena | Andrena (Andrena) lapponica,| kingdom | phylum | subphylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Andrena (Andrena) lapponica,Andrena lapponica,
NA,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Andrenidae | Andrena | Andrena (Cnemidandrena) fuscipes,| kingdom | phylum | subphylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Andrena (Cnemidandrena) fuscipes,Andrena fuscipes,
NA,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Andrenidae | Andrena | Andrena (Leucandrena) argentata,| kingdom | phylum | subphylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Andrena (Leucandrena) argentata,Andrena argentata,
NA,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Andrenidae | Andrena | Andrena (Margandrena) marginata,| kingdom | phylum | subphylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Andrena (Margandrena) marginata,Andrena marginata,
NA,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Andrenidae | Andrena | Andrena (Poliandrena) florea,| kingdom | phylum | subphylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Andrena (Poliandrena) florea,Andrena florea,
NA,Hymenoptera | Andrenidae | Andrena | Andrena sp.,order | family | genus | species,NA,NA,NA,NA,Andrena sp.,,skip
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Anthidiellum | Anthidiellum spilotum,kingdom | phylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Anthidiellum spilotum,Anthidiellum apicatum,
NA,Hymenoptera | Apidae | Anthophorula | Anthophorula sp.,order | family | genus | species,NA,NA,NA,NA,Anthophorula sp.,,skip
NA,Hymenoptera | Megachilidae | Ashmeadiella | Ashmeadiella gilletei,order | family | genus | species,NA,NA,NA,NA,Ashmeadiella gilletei,Ashmeadiella gillettei,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Augochlora | Augochlora semiramis,kingdom | phylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Augochlora semiramis,Augochlora semiramis,
NA,Cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Augochlorini | Augochlorella | Augochlorella striata,| | | kingdom | | | | | | phylum | | | superclass | class | | | subclass | infraclass | order | | suborder | superfamily | family | subfamily | tribe | genus | species,NA,Arthropoda,species,NA,Augochlorella striata,Augochlorella striata,unconfirmed
NA,Biota | Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus (Thoracobombus) pascuorum,| kingdom | phylum | subphylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Bombus (Thoracobombus) pascuorum,Bombus pascuorum,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus atratus,kingdom | phylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Bombus atratus,Bombus pauloensis,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Apidae | Bombus | Bombus pleuralis,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Bombus pleuralis,Bombus flavifrons,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Apidae | Braunsapis | Braunsapis langenburgensis,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Braunsapis langenburgensis,Braunsapis langenburgensis,unconfirmed
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Melittidae | Capicola | Capicola aliceae,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Capicola aliceae,Capicola aliceae,unconfirmed
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Ceratina | Ceratina calcarata or dupla,kingdom | phylum | class | order | family | genus | species,NA,Arthropoda,NA,NA,Ceratina calcarata or dupla,,skip
NA,Hymenoptera | Apidae | Ceratina | Ceratina calcarata/dupla,order | family | genus | species,NA,NA,NA,NA,Ceratina calcarata/dupla,,skip
NA,Insecta | Hymenoptera | Apidae | Chalepogenus | Chalepogenus herbst,class | order | family | genus | species,NA,NA,species,NA,Chalepogenus herbst,Chalepogenus herbsti,
NA,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Apoidea | Anthophila | Megachilidae | Coelioxys | Coelioxys afra,| | domain | | kingdom | | | | | phylum | | subphylum | class | | | | order | | suborder | superfamily | | family | genus | species,NA,Arthropoda,species,NA,Coelioxys afra,Coelioxys afra,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Coelioxys | Coelioxys alternata,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Coelioxys alternata,Coelioxys alternatus,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Coelioxys | Coelioxys conoidea,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Coelioxys conoidea,Coelioxys conoideus,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Coelioxys | Coelioxys elongata,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Coelioxys elongata,Coelioxys elongatus,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Coelioxys | Coelioxys foveolata,kingdom | phylum | class | order | family | genus | species,NA,Arthropoda,species,NA,Coelioxys foveolata,Coelioxys foveolatus,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Coelioxys | Coelioxys funeraria,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Coelioxys funeraria,Coelioxys funerarius,
NA,Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Coelioxys | Coelioxys germana,kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species,NA,Arthropoda,species,NA,Coelioxys germana,Coelioxys germanus,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Coelioxys | Coelioxys germana,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Coelioxys germana,Coelioxys germanus,
NA,Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Coelioxys | Coelioxys immaculata,kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species,NA,Arthropoda,species,NA,Coelioxys immaculata,Coelioxys immaculatus,
NA,Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Coelioxys | Coelioxys mexicana,kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species,NA,Arthropoda,species,NA,Coelioxys mexicana,Coelioxys mexicanus,
NA,Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Coelioxys | Coelioxys modesta,kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species,NA,Arthropoda,species,NA,Coelioxys modesta,Coelioxys modestus,
NA,Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Coelioxys | Coelioxys modesta,kingdom | phylum | class | order | superfamily | family | genus | species,NA,Arthropoda,species,NA,Coelioxys modesta,Coelioxys modestus,
