Parameter definition,Symbol,Mean,"Standard 
deviation",95% Credible Interval,
Intercept of bee-plant interaction probability,_1,0.77,0.90,-1.24,2.44
Bee size ,_2,-0.55,0.33,-1.21,0.11
Bee solitary ,_3,-0.42,0.80,-2.12,1.04
Yellow flower color ,_4,-0.38,0.22,-0.81,0.05
Blue flower color,_5,0.87,0.51,-0.08,1.94
White flower color,_6,-0.80,0.22,-1.24,-0.39
Bowl flower shape ,_7,-1.71,0.41,-2.53,-0.92
Intercept of bee-plant detection probability,_1,-6.68,0.43,-7.49,-5.81
Bee stripes,_2,0.37,0.38,-0.38,1.13
Bee size,_3,0.54,0.23,0.08,1.00
Literature,_4,0.01,0.12,-0.22,0.25
Collection,_5,0.15,0.10,-0.03,0.34
Observation,_6,1.41,0.10,1.22,1.61
Yellow flower color ,_7,0.17,0.12,-0.06,0.40
Blue flower color,_8,-0.03,0.25,-0.53,0.46
White flower color,_9,0.38,0.12,0.16,0.61
Bowl flower shape ,_10,1.05,0.13,0.79,1.29
Standard deviation of bee species detection probability,__p2,1.65,0.24,1.20,2.14
Standard deviation of bee species interaction probability,___2,2.09,0.48,1.23,3.10
,,,,,
,,,,,
