"","mod_name","beta_direction","proportion"
"1","Bee species model","greater than 0",0.995666666666667
"2","Bee species model","less than 0",0.00433333333333333
"3","Bee family model","greater than 0",0.6723
"4","Bee family model","less than 0",0.3277
"5","Plant species model","greater than 0",0.493766666666667
"6","Plant species model","less than 0",0.506233333333333
"7","Plant family model","greater than 0",0.522066666666667
"8","Plant family model","less than 0",0.477933333333333
"9","Bee and plant family model","greater than 0",0.97995
"10","Bee and plant family model","less than 0",0.02005
"11","No bee and plant model","greater than 0",0.4401
"12","No bee and plant model","less than 0",0.5599
