"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta_p[1]",-4.91543391280324,0.409321183473596,-5.79978068391044,-4.89685734790083,-4.16157850271285,1.02,302
"beta_p[2]",0.0592912917629966,0.380562243232606,-0.693201868631775,0.0643188743530586,0.774036443569413,1.02,781
"beta_p[3]",0.569924279886334,0.253580836663563,0.0726003245330989,0.567454823542366,1.07160844910227,1.03,725
"beta_p[4]",-1.3960728012992,0.0992438378348407,-1.5917883277692,-1.39540323893778,-1.20295071115152,1,44423
"beta_p[5]",-1.13443329183605,0.0668475461090901,-1.26576333743772,-1.13441672128723,-1.00308731851688,1,34125
"beta_p[6]",-1.44873406868866,0.101026522486991,-1.65040721065004,-1.44782920952396,-1.25338193343833,1,44695
"beta_p[7]",-0.476432067130181,0.158797538169075,-0.788621410734606,-0.47633919646864,-0.163590255010453,1,2247
"beta_p[8]",0.105754898301729,0.122596421049237,-0.135720517783555,0.106743375475152,0.344213570464646,1,1893
"beta_p[9]",0.165084822882461,0.127874476287956,-0.0829851894867459,0.164774817644215,0.417771402166531,1,1738
"beta_p[10]",1.14590239477468,0.112892347399178,0.921394847460492,1.1478270005808,1.36297989429012,1.01,901
"beta_psi[1]",-0.761780649366111,0.825195037655575,-2.47827382533288,-0.76888757814776,0.764412587578523,1.09,46
"beta_psi[2]",-0.403965028482214,0.401051480563554,-1.12960218615219,-0.423702807401929,0.487290680288502,1.07,163
"beta_psi[3]",0.540617269237968,0.744146423668075,-0.93732501379114,0.532658651492055,1.97479222364579,1.04,55
"beta_psi[4]",0.356404335819267,0.294928978237464,-0.211602894177995,0.352097139075506,0.94400978684726,1,1302
"beta_psi[5]",0.860813367596917,0.239873335266203,0.39358779605393,0.858767896169467,1.33543486799137,1.01,1412
"beta_psi[6]",-0.255548890583108,0.217029685884166,-0.692420530431843,-0.254030505138887,0.169077257347068,1,1035
"beta_psi[7]",-1.83334789004651,0.348196139176429,-2.53994945768758,-1.82741463623501,-1.17267257450399,1.01,247
"sigma_p",1.70360604641371,0.252931389827664,1.25356550172702,1.6869800890998,2.24411584518397,1.03,288
"sigma_psi",2.60624654777153,0.60645435790118,1.52838224449881,2.59139310082352,3.8817408604453,1.03,133
