name,subgenus,manualEditMLEE,removedSubSpec,removeSubGenus,genusforremovedsub,resolvedName
Melissodes dentriventris,,Melissodes dentiventris,,,,Melissodes dentiventris
Lasioglossum lusoria,,Lasioglossum lusorium,,,,Lasioglossum lusorium
Apis mellifera ,,Apis mellifera,,,,Apis mellifera
Apis cerana ,,Apis cerana,,,,Apis cerana
Osmia lignaria propinqua,,,Osmia lignaria,,,Osmia lignaria
Bombus vancouverensis nearcticus,,,Bombus vancouverensis,,,Bombus vancouverensis
Osmia montana quadriceps,,,Osmia montana,,,Osmia montana
Perdita ashmeadi vierecki,,,Perdita ashmeadi,,,Perdita ashmeadi
Hylaeus mesillae cressoni,,,Hylaeus mesillae,,,Hylaeus mesillae
Andrena ceanothifloris cretata,,,Andrena ceanothifloris,,,Andrena ceanothifloris
Perdita luciae decora,,,Perdita luciae,,,Perdita luciae
Ashmeadiella cactorum basalis,,,Ashmeadiella cactorum,,,Ashmeadiella cactorum
Ashmeadiella cactorum cactorum,,,Ashmeadiella cactorum,,,Ashmeadiella cactorum
Colletes consors consors,,,Colletes consors,,,Colletes consors
Colletes lutzi lutzi,,,Colletes lutzi,,,Colletes lutzi
Colletes simulans simulans,,,Colletes simulans,,,Colletes simulans
Andrena cressonii cressonii,,,Andrena cressonii,,,Andrena cressonii
Colletes fulgidus fulgidus,,,Colletes fulgidus,,,Colletes fulgidus
Colletes hyalinus hyalinus,,,Colletes hyalinus,,,Colletes hyalinus
Melecta pacifica fulvida,,,Melecta pacifica,,,Melecta pacifica
Melecta separata callura,,,Melecta separata,,,Melecta separata
Melissodes thelypodii thelypodii,,,Melissodes thelypodii,,,Melissodes thelypodii
Melissodes communis alopex,,,Melissodes communis,,,Melissodes communis
Melissodes tepida timberlakei,,,Melissodes tepida,,,Melissodes tepida
Xylocopa tabaniformis orpifex,,,Xylocopa tabaniformis,,,Xylocopa tabaniformis
Eucera frater albopilosa,,,Eucera frater,,,Eucera frater
Svastra obliqua expurgata,,,Svastra obliqua,,,Svastra obliqua
Svastra obliqua obliqua,,,Svastra obliqua,,,Svastra obliqua
Calliopsis anthidia,,Calliopsis anthidia,,,,Calliopsis anthidia
Melissodes brevipygus,,Melissodes brevipyga,,,,Melissodes brevipyga
Osmia caerulescens caerulescens,,,Osmia caerulescens,,,Osmia caerulescens
Compsomelissa seyrigi,,Compsomelissa seyrigi,,,,Compsomelissa seyrigi
Compsomelissa minuta,,Compsomelissa minuta,,,,Compsomelissa minuta
Compsomelissa isaloensis,,Compsomelissa isaloensis,,,,Compsomelissa isaloensis
