"fullcode","firstcode","secondcode","institutionfull","institution"
"ANSP-ENT","ANSP","ENT","Academy of Natural Sciences Entomology Collection - LepNet","Academy of Natural Sciences Entomology Collection"
"ANSP-ORTH","ANSP","ORTH","Academy of Natural Sciences Entomology Collection – OrthopNet","Academy of Natural Sciences Entomology Collection"
"ANSP-PARA","ANSP","PARA","Academy of Natural Sciences Entomology Collection – ParasiteTracker","Academy of Natural Sciences Entomology Collection"
"CONABIO-CAIM","CONABIO","CAIM","Actualización de la Colección de Artrópodos con importancia médica (CAIM), Laboratorio de Entomología, InDRE","Actualización de la Colección de Artrópodos con importancia médica (CAIM), Laboratorio de Entomología, InDRE"
"AMNH-IZC","AMNH","IZC","American Museum of Natural History Invertebrate Zoology Collection","American Museum of Natural History Invertebrate Zoology Collection"
"AMNH","AMNH",NA,"AMNH Arthropods","American Museum of Natural History Invertebrate Zoology Collection"
"CAS-ANTWEB","CAS","ANTWEB","AntWeb","California Academy of Sciences"
"CONABIO-LSPG","CONABIO","LSPG","Apoyo para la infraestructura de la colección de artrópodos con y sin importancia médica del Laboratorio estatal de Salud Pública del estado de Guanaj","Apoyo para la infraestructura de la colección de artrópodos con y sin importancia médica del Laboratorio estatal de Salud Pública del estado de Guanaj"
"ABS-ARTHARCH","ABS","ARTHARCH","Archbold Biological Station Arthropod Collection","Archbold Biological Station Arthropod Collection"
"ASU-SIBR","ASU","SIBR","Arizona State University - Social Insect Biodiversity Repository","Arizona State University"
"ASU-ASUCOB","ASU","ASUCOB","Arizona State University Charles W. O'Brien Collection","Arizona State University"
"ASU-ASUHIC","ASU","ASUHIC","Arizona State University Hasbrouck Insect Collection","Arizona State University"
"ASU-ASULOB","ASU","ASULOB","Arizona State University Lois B. O'Brien Collection","Arizona State University"
"AUMNH-ENT","AUMNH","ENT","Auburn University Museum of Natural History Entomology","Auburn University Museum of Natural History Entomology"
"AUGIE-ENT","AUGIE","ENT","Augustana College Entomology Collection","Augustana College Entomology Collection"
"MELU-AFI","MELU","AFI","Australian Freshwater Invertebrates","Australian Freshwater Invertebrates"
"THA-Bark Beetles","THA","Bark Beetles","Bark and Ambrosia Beetles of the New World","Bark and Ambrosia Beetles of the New World"
"USDA-ARS","USDA","ARS","Bee Biology and Systematics Laboratory","Bee Biology and Systematics Laboratory"
"CORN-URBAN","CORN","URBAN","Bees in the Trees Cornell Collection","Bees in the Trees Cornell Collection"
"BPBM-ENT","BPBM","ENT","Bernice Pauahi Bishop Museum","Bernice Pauahi Bishop Museum"
