"resolvedPlantNames","Family","Genus","Species","scientificName","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes"
"Anemopsis californica","Saururaceae","Anemopsis","californica","Anemopsis californica","indeterminate",1,0,0,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Sambucus nigra","Adoxaceae","Sambucus","nigra","Sambucus nigra subsp. caerulea","determinate",0,1,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Carpobrotus chilensis","Aizoaceae","Carpobrotus","chilensis","Carpobrotus chilensis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Carpobrotus edulis","Aizoaceae","Carpobrotus","edulis","Carpobrotus edulis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,NA
"Mesembryanthemum crystallinum","Aizoaceae","Mesembryanthemum","crystallinum","Mesembryanthemum crystallinum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"Mesembryanthemum nodiflorum","Aizoaceae","Mesembryanthemum","nodiflorum","Mesembryanthemum nodiflorum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"Tetragonia tetragonoides","Aizoaceae","Tetragonia","tetragonioides","Tetragonia tetragonioides","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"Amaranthus albus","Amaranthaceae","Amaranthus","albus","Amaranthus albus","indeterminate",1,0,0,"spike","bilateral",0,1,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA
"Amaranthus blitoides","Amaranthaceae","Amaranthus","blitoides","Amaranthus blitoides","indeterminate",1,0,0,"spike","bilateral",0,1,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA
"Amaranthus deflexus","Amaranthaceae","Amaranthus","deflexus","Amaranthus deflexus","indeterminate",1,0,0,"spike","bilateral",0,1,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA
"Amaranthus powellii","Amaranthaceae","Amaranthus","powellii","Amaranthus powellii","indeterminate",1,0,0,"spike","bilateral",0,1,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Rhus integrifolia","Anacardiaceae","Rhus","integrifolia","Rhus integrifolia","determinate",0,1,0,"spike","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Rhus ovata","Anacardiaceae","Rhus","ovata","Rhus ovata","determinate",0,1,0,"spike","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Schinus molle","Anacardiaceae","Schinus","molle","Schinus molle","determinate",0,1,0,"pedicel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Toxicodendron diversilobum","Anacardiaceae","Toxicodendron","diversilobum","Toxicodendron diversilobum","determinate",0,1,0,"pedicel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Apiastrum angustifolium","Apiaceae","Apiastrum","angustifolium","Apiastrum angustifolium","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Apium graveolens","Apiaceae","Apium","graveolens","Apium graveolens","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"Berula erecta","Apiaceae","Berula","erecta","Berula erecta","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"Bowlesia incana","Apiaceae","Bowlesia","incana","Bowlesia incana","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Conium maculatum","Apiaceae","Conium","maculatum","Conium maculatum","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"Daucus pusillus","Apiaceae","Daucus","pusillus","Daucus pusillus","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Foeniculum vulgare","Apiaceae","Foeniculum","vulgare","Foeniculum vulgare","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Lomatium caruifolium","Apiaceae","Lomatium","caruifolium","Lomatium caruifolium","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Lomatium utriculatum","Apiaceae","Lomatium","utriculatum","Lomatium utriculatum","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Sanicula arguta","Apiaceae","Sanicula","arguta","Sanicula arguta","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Sanicula hoffmannii","Apiaceae","Sanicula","hoffmannii","Sanicula hoffmannii","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Torilis arvensis","Apiaceae","Torilis","arvensis","Torilis arvensis","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"Torilis nodosa","Apiaceae","Torilis","nodosa","Torilis nodosa","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Yabea microcarpa","Apiaceae","Yabea","microcarpa","Yabea microcarpa","determinate",0,1,0,"cyme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Asclepias fascicularis","Apocynaceae","Asclepias","fascicularis","Asclepias fascicularis","determinate",0,1,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA
"Vinca major","Apocynaceae","Vinca","major","Vinca major","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"Achillea millefolium","Asteraceae","Achillea","millefolium","Achillea millefolium","compound",0,0,1,"corymb","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"Achyrachaena mollis","Asteraceae","Achyrachaena","mollis","Achyrachaena mollis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Acourtia microcephala","Asteraceae","Acourtia","microcephala","Acourtia microcephala","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"Agoseris grandiflora","Asteraceae","Agoseris","grandiflora","Agoseris grandiflora var. grandiflora","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Amblyopappus pusillus","Asteraceae","Amblyopappus","pusillus","Amblyopappus pusillus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Ambrosia chamissonis","Asteraceae","Ambrosia","chamissonis","Ambrosia chamissonis","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA
"Ambrosia psilostachya","Asteraceae","Ambrosia","psilostachya","Ambrosia psilostachya","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,NA
"Anthemis cotula","Asteraceae","Anthemis","cotula","Anthemis cotula","compound",0,0,1,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Artemisia californica","Asteraceae","Artemisia","californica","Artemisia californica","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA
"Artemisia douglasiana","Asteraceae","Artemisia","douglasiana","Artemisia douglasiana","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Baccharis glutinosa","Asteraceae","Baccharis","glutinosa","Baccharis glutinosa","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Baccharis pilularis","Asteraceae","Baccharis","pilularis","Baccharis pilularis ssp. consanguinea","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,NA
"Baccharis plummerae","Asteraceae","Baccharis","plummerae","Baccharis plummerae ssp. plummerae","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
